Name,Price,PreviousPrice,Offer,Retailer,DateScraped
 Drumshanbo Gunpowder Gin 70cl ,39.95,44.00,,OBriens,20210615
 Redbreast 12YO 70cl ,60.00,63.00,,OBriens,20210615
 Bushmills Black Bush 70cl ,25.00,32.00,,OBriens,20210615
 Tanqueray Gin 70cl ,32.00,,,OBriens,20210615
 Green Spot Whiskey 70cl ,59.95,,,OBriens,20210615
 Dingle Gin 70cl ,36.00,,,OBriens,20210615
 Bombay Sapphire Gin 70cl ,26.95,31.65,,OBriens,20210615
 Yellow Spot Whiskey 70cl ,79.95,,,OBriens,20210615
 Jameson 70cl ,27.95,30.00,,OBriens,20210615
 Gordons 70cl ,19.95,25.95,,OBriens,20210615
 Method & Madness Gin 70cl ,39.00,50.00,,OBriens,20210615
 Roe & Co Irish Whiskey 70cl ,35.00,42.00,,OBriens,20210615
 Aperol 70cl ,15.95,19.95,,OBriens,20210615
 Hennessy VS 70cl ,35.00,38.00,,OBriens,20210615
 Kilbeggan 70cl ,22.95,27.50,,OBriens,20210615
 Jameson Caskmates Stout 70cl ,28.00,38.00,,OBriens,20210615
 Knappogue 12YO 70cl ,47.00,,,OBriens,20210615
 Jameson Crested Whiskey 70cl ,36.50,,,OBriens,20210615
 Jameson Black Barrel 70cl ,45.00,50.00,,OBriens,20210615
 Powers Gold Label 70cl ,25.00,31.95,,OBriens,20210615
 Absolut 70cl ,19.95,28.50,,OBriens,20210615
 Passoa 70cl ,18.00,21.00,,OBriens,20210615
 Roku Japanese Gin 70cl ,39.00,44.95,,OBriens,20210615
 Bacardi Carta Blanca 70cl ,26.50,,,OBriens,20210615
 Maker's Mark Bourbon 70cl ,36.00,46.00,,OBriens,20210615
 Jameson Cold Brew 70cl ,31.00,,,OBriens,20210615
 Garnish Island 70cl ,37.95,,,OBriens,20210615
 Beefeater Gin 70cl ,19.95,26.00,,OBriens,20210615
 Paddy 70cl ,28.95,,,OBriens,20210615
 Kahlua 70cl ,21.00,26.50,,OBriens,20210615
 Hendricks Gin 70cl ,39.00,,,OBriens,20210615
 Powers '3 Swallow' Release 70cl ,33.00,47.50,,OBriens,20210615
 Absolut 1L ,28.00,34.95,,OBriens,20210615
 Jameson Caskmates IPA 70cl ,28.00,38.00,,OBriens,20210615
 Grey Goose Vodka 70cl ,58.00,,,OBriens,20210615
 Sexton Irish Whiskey 70cl ,40.00,,,OBriens,20210615
 Crested Devil's Ladder 70cl ,50.00,,,OBriens,20210615
 Bombay Bramble 70cl ,33.00,,,OBriens,20210615
 Jack Daniels 70cl ,28.00,34.95,,OBriens,20210615
 Teeling Small Batch Whiskey 70cl ,35.00,38.00,,OBriens,20210615
 Slane Whiskey 70cl ,33.00,,,OBriens,20210615
 Fercullen 8 YO 70cl ,39.00,46.00,,OBriens,20210615
 Berthas Revenge Gin 70cl ,49.95,,,OBriens,20210615
 Kraken Black Spiced Rum 70cl ,29.95,,,OBriens,20210615
 Patron Silver 70cl ,66.00,,,OBriens,20210615
 Waterford Distillery Ratheadon 1.2 70cl ,65.00,70.00,,OBriens,20210615
