Name,Price,PreviousPrice,Offer,Retailer,DateScraped
 Drumshanbo Gunpowder Gin 70cl ,39.95,44.00,,OBriens,20210629
 Redbreast 12YO 70cl ,60.00,63.00,,OBriens,20210629
 Bushmills Black Bush 70cl ,25.00,32.00,,OBriens,20210629
 Tanqueray Gin 70cl ,32.00,,,OBriens,20210629
 Green Spot Whiskey 70cl ,59.95,,,OBriens,20210629
 Dingle Gin 70cl ,36.00,,,OBriens,20210629
 Bombay Sapphire Gin 70cl ,26.95,31.65,,OBriens,20210629
 Yellow Spot Whiskey 70cl ,79.95,,,OBriens,20210629
 Jameson 70cl ,27.95,30.00,,OBriens,20210629
 Gordons 70cl ,19.95,25.95,,OBriens,20210629
 Method & Madness Gin 70cl ,39.00,50.00,,OBriens,20210629
 Roe & Co Irish Whiskey 70cl ,35.00,42.00,,OBriens,20210629
 Aperol 70cl ,15.95,19.95,,OBriens,20210629
 Hennessy VS 70cl ,35.00,38.00,,OBriens,20210629
 Kilbeggan 70cl ,22.95,27.50,,OBriens,20210629
 Jameson Caskmates Stout 70cl ,28.00,38.00,,OBriens,20210629
 Jameson Black Barrel 70cl ,50.00,,,OBriens,20210629
 Knappogue 12YO 70cl ,47.00,,,OBriens,20210629
 Jameson Crested Whiskey 70cl ,36.50,,,OBriens,20210629
 Absolut 70cl ,19.95,28.50,,OBriens,20210629
 Powers Gold Label 70cl ,25.00,31.95,,OBriens,20210629
 Roku Japanese Gin 70cl ,39.00,44.95,,OBriens,20210629
 Bacardi Carta Blanca 70cl ,26.50,,,OBriens,20210629
 Powers '3 Swallow' Release 70cl ,33.00,47.50,,OBriens,20210629
 Absolut 1L ,28.00,34.95,,OBriens,20210629
 Maker's Mark Bourbon 70cl ,36.00,46.00,,OBriens,20210629
 Crested Devil's Ladder 70cl ,50.00,,,OBriens,20210629
 Beefeater Gin 70cl ,19.95,26.00,,OBriens,20210629
 Hendricks Gin 70cl ,39.00,,,OBriens,20210629
 Jameson Cold Brew 70cl ,31.00,,,OBriens,20210629
 Garnish Island 70cl ,37.95,,,OBriens,20210629
 Bacardi Carta Blanca 1L ,30.00,38.00,,OBriens,20210629
 Jameson Caskmates IPA 70cl ,28.00,38.00,,OBriens,20210629
 Paddy 70cl ,28.95,,,OBriens,20210629
 Jack Daniels 70cl ,28.00,34.95,,OBriens,20210629
 Grey Goose Vodka 70cl ,58.00,,,OBriens,20210629
 Teeling Small Batch Whiskey 70cl ,35.00,38.00,,OBriens,20210629
 Monkey 47 50cl ,45.00,57.00,,OBriens,20210629
 Sexton Irish Whiskey 70cl ,40.00,,,OBriens,20210629
 Bombay Bramble 70cl ,33.00,,,OBriens,20210629
 Waterford Distillery Ratheadon 1.2 70cl ,65.00,70.00,,OBriens,20210629
 Slane Whiskey 70cl ,33.00,,,OBriens,20210629
 Kraken Black Spiced Rum 70cl ,29.95,,,OBriens,20210629
 Berthas Revenge Gin 70cl ,49.95,,,OBriens,20210629
 Patron Silver 70cl ,66.00,,,OBriens,20210629
 Fercullen 8 YO 70cl ,39.00,46.00,,OBriens,20210629
 Disaronno 70cl ,30.00,,,OBriens,20210629
 Beefeater Pink Gin 70cl ,19.95,24.95,,OBriens,20210629
 Connemara Peated Malt 70cl ,32.00,41.00,,OBriens,20210629
 Beefeater 24 70cl ,40.00,,,OBriens,20210629
 Dingle Core Single Malt 70cl ,55.00,,,OBriens,20210629
 Gordons Pink Gin 70cl ,22.95,25.00,,OBriens,20210629
 Teeling Blackpitts 70cl ,60.00,,,OBriens,20210629
 Smirnoff 70cl ,20.95,24.95,,OBriens,20210629
 Graham Norton Pink Gin 70cl ,42.00,,,OBriens,20210629
 Tanqueray Lovage 1L ,58.60,72.00,,OBriens,20210629
 Jack Daniels Single Barrel 70cl ,59.25,,,OBriens,20210629
 Writers' Tears Red head Single Malt 70cl ,60.00,,,OBriens,20210629
 Blackwater Strawberry Gin 50cl ,32.00,,,OBriens,20210629
 Tanqueray 10 70cl ,50.00,,,OBriens,20210629
 Waterford Distillery Organic: Gaia 1.1 ,77.00,,,OBriens,20210629
 Finlandia Vodka 70cl ,26.50,,,OBriens,20210629
 Powers Johns Lane 70cl ,65.00,,,OBriens,20210629
 Jack Daniel's Tennessee Apple 70cl ,28.00,34.74,,OBriens,20210629
 Bombay Sapphire English Estate 70cl ,33.50,,,OBriens,20210629
 Teeling Single Grain Whiskey 70cl ,47.95,,,OBriens,20210629
 Dingle Single Malt 70cl ,65.00,70.00,,OBriens,20210629
 Skellig Six18 Pot Still Gin 70cl ,48.00,,,OBriens,20210629
 Southern Comfort 70cl ,29.50,,,OBriens,20210629
 Cork Dry Gin 70cl ,24.95,,,OBriens,20210629
 Chivas Regal 12YO 70cl ,45.00,,,OBriens,20210629
 Proper No. 12 70cl ,33.00,,,OBriens,20210629
 Jim Beam 70cl ,25.00,28.50,,OBriens,20210629
 Knappogue 16YO 70cl ,80.00,,,OBriens,20210629
 Teeling Single Malt 70cl ,55.00,,,OBriens,20210629
 Captain Morgan Spiced 70cl ,22.95,26.50,,OBriens,20210629
 Jack Daniels Honey 70cl ,28.00,34.95,,OBriens,20210629
 Diplomatico Reserva Rum 70cl ,45.00,55.00,,OBriens,20210629
 Aperol 1L ,22.95,,,OBriens,20210629
 Coole Swan 70cl ,25.00,,,OBriens,20210629
 Teeling Stout Cask 70cl ,45.00,50.00,,OBriens,20210629
 Malfy Rosa 70cl ,36.00,,,OBriens,20210629
 Tyrconnell Single Malt 43% 70cl ,35.00,39.95,,OBriens,20210629
 Bacardi Spiced 70cl ,26.50,,,OBriens,20210629
 Graham Norton Gin 70cl ,42.00,,,OBriens,20210629
 Glendalough Double Barrel 70cl ,32.00,35.00,,OBriens,20210629
 Kilbeggan Small Batch Rye 70cl ,55.00,,,OBriens,20210629
 Tails Espresso Martini 1L ,36.00,,,OBriens,20210629
 Canadian Club 70cl ,35.00,,,OBriens,20210629
 Blackwater Gin 50cl ,30.00,,,OBriens,20210629
 Malfy Arancia 70cl ,36.00,,,OBriens,20210629
