Name,Price,Offer,PreviousPrice,Retailer,DateScraped
Abellio Albarino (75 cl),10.00,"WAS 13.76, NOW 10.00, SAVE 3.76",13.76,SuperValu,20210119
Beaujolais Villages Andre Goichot (75 cl),10.00,"WAS 12.78, NOW 10.00, SAVE 2.78",12.78,SuperValu,20210119
Blossom Hill Crisp And Fruity White (75 cl),8.36,"WAS 9.83, NOW 8.36, SAVE 1.47",9.83,SuperValu,20210119
Blossom Hill Soft & Fruity Red (75 cl),8.36,"WAS 9.83, NOW 8.36, SAVE 1.47",9.83,SuperValu,20210119
Bourgogne Pinot Noir Naudin Tiercin (75 cl),12.00,"WAS 14.75, NOW 12.00, SAVE 2.75",14.75,SuperValu,20210119
Budweiser 8pk Can (500 ml),12.30,"WAS 13.77, NOW 12.30, SAVE 1.47",13.77,SuperValu,20210119
Carlsberg Danish Pilsner Lager 8 Pack Cans (500 ml),12.30,"WAS 13.77, NOW 12.30, SAVE 1.47",13.77,SuperValu,20210119
Hop House 13 8pk Can (500 ml),12.30,"WAS 13.77, NOW 12.30, SAVE 1.47",13.77,SuperValu,20210119
Hufi 4 Pack (500 ml),6.89,"WAS 7.38, NOW 6.89, SAVE 0.49",7.38,SuperValu,20210119
Karpackie Can 8 pack (500 ml),10.82,"WAS 11.80, NOW 10.82, SAVE 0.98",11.80,SuperValu,20210119
Asahi Super Dry (620 ml),3.00,,,SuperValu,20210119
12 Acres Pallet Jack India Pale Lager (440 ml),3.25,,,SuperValu,20210119
8D Citra Single Hop Ipa (440 ml),3.00,,,SuperValu,20210119
8d Seisiun Ipa (440 ml),3.00,,,SuperValu,20210119
9 White Deer Brewery Stag Saor Kolsch Style (500 ml),3.25,,,SuperValu,20210119
Druids Celtic Cider Can 8 Pack (500 ml),10.82,"WAS 12.79, NOW 10.82, SAVE 1.97",12.79,SuperValu,20210119
Kopparberg Apple Rose Bottle (500 ml),3.00,"WAS 3.39, NOW 3.00, SAVE 0.39",3.39,SuperValu,20210119
Kopparberg Strawberry & Lime Bottle (500 ml),3.00,"WAS 3.39, NOW 3.00, SAVE 0.39",3.39,SuperValu,20210119
Kopparberg Strawberry & Lime Can (500 ml),2.50,"WAS 3.39, NOW 2.50, SAVE 0.89",3.39,SuperValu,20210119
Orchard Thieves 15pack Can (440 ml),15.00,"WAS 19.67, NOW 15.00, SAVE 4.67",19.67,SuperValu,20210119
Absolut Vodka (35 cl),11.80,"WAS 14.36, NOW 11.80, SAVE 2.56",14.36,SuperValu,20210119
Bacardi Superior (70 cl),22.00,"WAS 26.06, NOW 22.00, SAVE 4.06",26.06,SuperValu,20210119
Bushmills Gift Tube (70 cl),25.00,"WAS 27.83, NOW 25.00, SAVE 2.83",27.83,SuperValu,20210119
Bushmills Irish Whiskey (70 cl),25.00,"WAS 27.83, NOW 25.00, SAVE 2.83",27.83,SuperValu,20210119
Cork Dry Gin (70 cl),20.00,"WAS 23.76, NOW 20.00, SAVE 3.76",23.76,SuperValu,20210119
Brewdog Punk Alcohol Free 4 Pack Can (330 ml),5.90,"WAS 6.89, NOW 5.90, SAVE 0.99",6.89,SuperValu,20210119
Ceder's Crisp Non Alcoholic (50 cl),20.00,"WAS 24.59, NOW 20.00, SAVE 4.59",24.59,SuperValu,20210119
Kopparberg Strawberry & Lime Non-alcoholic Bottle (500 ml),1.48,"WAS 1.76, NOW 1.48, SAVE 0.28",1.76,SuperValu,20210119
Lyre's American Malt (700 ml),23.50,"WAS 26.00, NOW 23.50, SAVE 2.50",26.00,SuperValu,20210119
Lyre's Dry London Spirit (700 ml),23.50,"WAS 26.00, NOW 23.50, SAVE 2.50",26.00,SuperValu,20210119
Eristoff Original Vodka (70 cl),19.00,"WAS 22.82, NOW 19.00, SAVE 3.82",22.82,SuperValu,20210119
Smirnoff Vodka Red (70 cl),20.00,"WAS 25.58, NOW 20.00, SAVE 5.58",25.58,SuperValu,20210119
Wyborowa (70 cl),20.17,"WAS 25.33, NOW 20.17, SAVE 5.16",25.33,SuperValu,20210119
Absolut Citron (70 cl),25.87,,,SuperValu,20210119
Absolut Raspberri (70 cl),25.87,,,SuperValu,20210119
Absolut Standard (70 cl),27.40,,,SuperValu,20210119
Absolut Vanilla (70 cl),25.58,,,SuperValu,20210119
Absolut Vodka (1 L),39.64,,,SuperValu,20210119
Finlandia Classic Vodka (70 cl),22.00,,,SuperValu,20210119
Grey Goose Vodka (70 cl),58.04,,,SuperValu,20210119
Huzzar Vodka (200 ml),6.54,,,SuperValu,20210119
Huzzar Vodka (70 cl),22.22,,,SuperValu,20210119
Huzzar Vodka (1 L),31.68,,,SuperValu,20210119
Smirnoff 20cl Pmp 7.50 (20 ml),7.38,,,SuperValu,20210119
Smirnoff Vodka (1 L),33.45,,,SuperValu,20210119
Dunphy's Irish Whiskey (70 cl),21.00,"WAS 24.15, NOW 21.00, SAVE 3.15",24.15,SuperValu,20210119
Jameson Irish Whiskey (200 ml),9.59,"WAS 11.61, NOW 9.59, SAVE 2.02",11.61,SuperValu,20210119
Powers Gold Label (350 ml),13.77,"WAS 16.72, NOW 13.77, SAVE 2.95",16.72,SuperValu,20210119
Tullamore Dew Xo Rum Cask (70 cl),28.00,"WAS 34.43, NOW 28.00, SAVE 6.43",34.43,SuperValu,20210119
Black Bush (70 cl),32.46,,,SuperValu,20210119
