Name,Price,PreviousPrice,Offer,Retailer,DateScraped
Gordons Pink Gin 70cl,19.95,25.00,,OBriens,20190219
Absolut 70cl,19.95,28.50,,OBriens,20190219
Bushmills Black 70cl,24.95,33.00,,OBriens,20190219
Johnnie Walker Red Label 70cl,25.95,30.00,,OBriens,20190219
Hennessy VS 70cl,31.95,36.00,,OBriens,20190219
Jameson Crested Whiskey 70cl,36.50,,,OBriens,20190219
Jameson 70cl,26.95,30.00,,OBriens,20190219
Redbreast 12 Year Old 70cl,66.00,,,OBriens,20190219
Hendricks Gin 70cl,39.95,44.00,,OBriens,20190219
Barr an Uisce 10 Year Old Single Malt 70cl,65.00,,,OBriens,20190219
Mór Irish Gin 70cl,48.00,,,OBriens,20190219
Seedlip Gardin 108 Non Alcoholic Gin 70cl,32.95,,,OBriens,20190219
Jameson Cold Brew 50cl,28.50,,,OBriens,20190219
Absolut Drop of Love 70cl,19.95,28.50,,OBriens,20190219
Connemara Peated Malt 70cl,41.00,,,OBriens,20190219
Grand Marnier 70cl,45.00,,,OBriens,20190219
Hennessy XO 70cl,158.00,,,OBriens,20190219
Powers Gold Label 70cl,31.95,,,OBriens,20190219
Baileys 1L,30.00,,,OBriens,20190219
Makers Mark Bourbon 70cl,46.00,,,OBriens,20190219
Smirnoff Vodka 70cl,19.95,24.95,,OBriens,20190219
Yellow Spot Whiskey 70cl,79.95,,,OBriens,20190219
Zaconey 70cl,27.00,,,OBriens,20190219
Dingle Gin 70cl,36.00,,,OBriens,20190219
Jack Daniels 70cl Gift Glass Pack,34.95,,,OBriens,20190219
Monkey 47 50cl,57.00,,,OBriens,20190219
Choya Sake 75cl,17.95,,,OBriens,20190219
Pernod Absinthe 70cl,66.00,,,OBriens,20190219
West Cork 10YO Single Malt 70cl,40.00,,,OBriens,20190219
Knappogue 16 Year Old 70cl,80.00,,,OBriens,20190219
Barr an Uisce Signature Blend 70cl,47.00,,,OBriens,20190219
Slane Whiskey 70cl,35.00,,,OBriens,20190219
Listoke 1777 Small Batch Irish Gin 70cl,34.95,40.00,,OBriens,20190219
Tyrconnell 16YO 70cl,95.00,,,OBriens,20190219
Jameson Makers Series 3 x 20cl Gift,70.00,,,OBriens,20190219
