Name,Price,PreviousPrice,Offer,Retailer,DateScraped
Tesco Finest* Premier Cru Brut Champagne 75Cl,35.00,,,Tesco - IRL,20190219
Castillo San Lorenzo Reserva 75Cl,15.00,,,Tesco - IRL,20190219
Las Moras Love - Malbec 75Cl,12.00,15.00,SAVE 3.00 Was  15.00 Now  12.00,Tesco - IRL,20190219
1000 Stories Zinfandel 750Ml,20.00,,,Tesco - IRL,20190219
Faustino Rivero Ulecia Reserva 75Cl,9.00,12.00,SAVE 3.00 Was  12.00 Now  9.00,Tesco - IRL,20190219
Faustino Rivero Ulecia Tempra- Nillo Rioja 75Cl,9.00,12.00,SAVE 3.00 Was  12.00 Now  9.00,Tesco - IRL,20190219
Torres Sangre De Toro White 75Cl,12.49,,,Tesco - IRL,20190219
Cune Ribera Del Duero 75Cl,12.00,15.00,SAVE 3.00 Was  15.00 Now  12.00,Tesco - IRL,20190219
Most Wanted Chardonnay 75Cl,9.00,12.00,SAVE 3.00 Was  12.00 Now  9.00,Tesco - IRL,20190219
Casillero Del Diablo Pinot Noir 750Ml,9.00,,Only 9.00 Casillero Del Diablo Pi...,Tesco - IRL,20190219
Tesco Low Alcohol Sparkling White Wine 75Cl,3.99,,,Tesco - IRL,20190219
Mcguigan Bin Shiraz 750Ml,16.00,,,Tesco - IRL,20190219
S R Medalla Real Gold Cabernet Sauvignon 75Cl,15.00,20.00,SAVE 5.00 Was  20.00 Now  15.00,Tesco - IRL,20190219
Campaneo Old Vines Garnacha 75Cl,8.00,,,Tesco - IRL,20190219
Wine Maker's Lot Carmenere Cabernet Sauvignon 750Ml,7.50,15.00,HALF  PRICE     Was  15.00  Now  ...,Tesco - IRL,20190219
Tesco Finest Barossa Shiraz 75Cl,15.00,,,Tesco - IRL,20190219
19 Crimes Red Wine 75Cl,12.00,15.00,SAVE 3.00 Was  15.00 Now  12.00,Tesco - IRL,20190219
Dark Horse Merlot 75Cl,15.00,,,Tesco - IRL,20190219
I Heart Prosecco 75Cl,15.00,,,Tesco - IRL,20190219
Casa Roscoli Organic Pinot Grigio Doc 75Cl,12.00,,,Tesco - IRL,20190219
Yalumba Organic Shiraz 75Cl,16.00,,,Tesco - IRL,20190219
Pinot Pinot Pinot Grigio Sparkling 200Ml,3.00,,Any 4 For 10.00,Tesco - IRL,20190219
Graham Nortons Own Shiraz 75Cl,15.00,,,Tesco - IRL,20190219
Mionetto Organic Prosecco 75Cl,18.00,,,Tesco - IRL,20190219
Jam Shed Shiraz 75Cl,9.00,12.00,SAVE 3.00 Was  12.00 Now  9.00,Tesco - IRL,20190219
Yellow Tail Malbec 75Cl,12.00,,,Tesco - IRL,20190219
Marques Delatrio Tempranillo Rioja 75Cl,10.00,12.00,SAVE 2.00 Was  12.00 Now  10.00,Tesco - IRL,20190219
Yalumba Organic Viognier 75Cl,16.00,,,Tesco - IRL,20190219
Santa Rita Wine Maker Sauvignon Blanc 75Cl,9.00,18.00,SAVE 9.00 Was  18.00 Now  9.00,Tesco - IRL,20190219
Mcguigan Bin 178 Merlot 75Cl,16.00,,,Tesco - IRL,20190219
Mons Igneus Appassimento 75Cl,12.00,,,Tesco - IRL,20190219
Yellow Tail Sauvignon Blanc 75Cl,12.00,,,Tesco - IRL,20190219
Chateau Souverain Sauvignon Blanc 750Ml,12.00,18.00,SAVE 6.00 Was  18.00 Now  12.00,Tesco - IRL,20190219
Chateau Souverain Chardonnay 750Ml,12.00,18.00,SAVE 6.00 Was  18.00 Now  12.00,Tesco - IRL,20190219
Casa Roscoli Organic Primitivo 75Cl,12.00,,,Tesco - IRL,20190219
Tallero Frizzante Spago 75Cl,12.00,,,Tesco - IRL,20190219
Little Black Dress Pinot Grigio 750Ml,13.00,,,Tesco - IRL,20190219
I Heart Asti 75Cl,18.00,,,Tesco - IRL,20190219
Marques Del Atrio Crianza Rioja 75Cl,12.00,15.00,SAVE 3.00 Was  15.00 Now  12.00,Tesco - IRL,20190219
Changyu Noble Dragon Riesling 75Cl,15.00,,,Tesco - IRL,20190219
Freixenet Cava Rose Non Vintage 75Cl,20.00,,,Tesco - IRL,20190219
Blossom Hill Pale Rose 75Cl,12.00,,,Tesco - IRL,20190219
Dona Paula 1100 75Cl,15.00,20.00,SAVE 5.00 Was  20.00 Now  15.00,Tesco - IRL,20190219
Wairau Cove Merlot 75Cl,10.00,,,Tesco - IRL,20190219
Santa Rita Red Blend 1 Litre,16.00,,,Tesco - IRL,20190219
Most Wanted Zinfandel 75Cl,12.00,,,Tesco - IRL,20190219
Faustino Rivero Verdejo Ulecia 75Cl,10.00,,,Tesco - IRL,20190219
Casa Roscoli Organic Grillo Doc 75Cl,12.00,,,Tesco - IRL,20190219
Graffigna Centenario Malbec 75Cl,10.00,13.99,SAVE 3.99 Was  13.99 Now  10.00,Tesco - IRL,20190219
Casa Roscoli Organic Nero D'avola Doc 75Cl,12.00,,,Tesco - IRL,20190219
Marques Del Atrio White Rioja 75Cl,10.00,12.00,SAVE 2.00 Was  12.00 Now  10.00,Tesco - IRL,20190219
Tesco Finest Central Otago Pinot Noir 75Cl,15.00,,,Tesco - IRL,20190219
Tesco Finest Coonawarra Cabernet 75Cl,15.00,,,Tesco - IRL,20190219
The Vineyards Chenin Blanc 75Cl,5.99,,,Tesco - IRL,20190219
Mcguigan Reserve Chardonnay 75Cl,14.00,,,Tesco - IRL,20190219
Cune Cava 75Cl,15.00,18.00,SAVE 3.00 Was  18.00 Now  15.00,Tesco - IRL,20190219
Santa Rita Reserva Semillon 75Cl,15.00,,,Tesco - IRL,20190219
Bella Cucina Prosecco Frizzante 75Cl,9.00,,Only 9.00 Bella Cucina Prosecco F...,Tesco - IRL,20190219
Yalumba Y Series Unwood Chardonay 75Cl,16.00,,,Tesco - IRL,20190219
Chateau Souverain Cabernet 750Ml,12.00,18.00,SAVE 6.00 Was  18.00 Now  12.00,Tesco - IRL,20190219
Mcguigan Bin Sauvignon Blanc 750Ml,16.00,,,Tesco - IRL,20190219
Finca Las Moras Dada Art Malbec 75Cl,10.00,13.00,SAVE 3.00 Was  13.00 Now  10.00,Tesco - IRL,20190219
Catena Malbec 75Cl,20.00,,,Tesco - IRL,20190219
Stormhoek Cabernet 75Cl,8.00,12.00,SAVE 4.00 Was  12.00 Now  8.00,Tesco - IRL,20190219
19 Crimes The Banished Dark Red 75Cl,12.00,15.00,SAVE 3.00 Was  15.00 Now  12.00,Tesco - IRL,20190219
Dark Horse Sauvignon Blanc 75Cl,15.00,,,Tesco - IRL,20190219
Mcguigan Reserve Shiraz 750Ml,14.00,,,Tesco - IRL,20190219
Hardys Varietal Range Sauvignon Blanc 75Cl,8.00,,Only 8.00 Hardys Varietal Range S...,Tesco - IRL,20190219
Stormhoek Chardonnay 75Cl,8.00,12.00,SAVE 4.00 Was  12.00 Now  8.00,Tesco - IRL,20190219
Yalumba Galway Shiraz 75Cl,16.00,,,Tesco - IRL,20190219
The Guv'nor 750Ml,9.00,12.00,SAVE 3.00 Was  12.00 Now  9.00,Tesco - IRL,20190219
Santa Rita Early Harvest 120Sauvg Blanc 75Cl,12.50,,,Tesco - IRL,20190219
Cheval De Mer Mediterranean Rose 75Cl,15.00,,,Tesco - IRL,20190219
Faustino Rivero Albario Rias Baixas 75Cl,12.00,,,Tesco - IRL,20190219
Torres Sangre De Toro Tempranillo 75Cl,12.49,,,Tesco - IRL,20190219
Tesco Low Alcohol Sparkling Rose Wine 75Cl,3.99,,,Tesco - IRL,20190219
Barefoot Shiraz Cabernet 75Cl,10.00,,,Tesco - IRL,20190219
Paco And Lola Albarino 75Cl,15.00,,,Tesco - IRL,20190219
Louis Delaunay Champagne Cuve Prestige 75Cl,32.00,,,Tesco - IRL,20190219
Mcguigan Reserve Cabernet 75Cl,12.00,,,Tesco - IRL,20190219
Most Wanted Albarino 75Cl,12.00,15.00,SAVE 3.00 Was  15.00 Now  12.00,Tesco - IRL,20190219
Faustino Rivero Ulecia Crianza 75Cl,10.00,,,Tesco - IRL,20190219
Most Wanted Sauvignon Blanc 75Cl,10.00,13.00,SAVE 3.00 Was  13.00 Now  10.00,Tesco - IRL,20190219
Vina Albali Pinot Grigio 75Cl,8.00,10.00,SAVE 2.00 Was  10.00 Now  8.00,Tesco - IRL,20190219
Mcguigan Black Label Red 750Ml,12.00,,,Tesco - IRL,20190219
Carmen Granules Reserva Chardonnay 75Cl,15.00,20.00,SAVE 5.00 Was  20.00 Now  15.00,Tesco - IRL,20190219
Graham Norton's Own Prosecco 75Cl,18.00,,,Tesco - IRL,20190219
Faustino Rivero Ulecia Crianza Rioja 75Cl,9.00,12.00,SAVE 3.00 Was  12.00 Now  9.00,Tesco - IRL,20190219
Yalumba Y Series Cabernet Sauvignon 75Cl,16.00,,,Tesco - IRL,20190219
Torres Sangre De Toro Verdejo 75Cl,12.49,,,Tesco - IRL,20190219
Faustino Rivero Ulecia Reserva Rioja 75Cl,10.00,15.00,SAVE 5.00 Was  15.00 Now  10.00,Tesco - IRL,20190219
Diablo Red Blend 750Ml,15.00,,,Tesco - IRL,20190219
Dona Paula Malbec Rose 75Cl,15.00,,,Tesco - IRL,20190219
Casillero Del Diablo Carmenere 75Cl,9.00,,Only 9.00 Casillero Del Diablo Ca...,Tesco - IRL,20190219
Little Black Dress Chardonnay 750Ml,13.00,,,Tesco - IRL,20190219
Santa Rita Reserva Rose 75Cl,13.00,,,Tesco - IRL,20190219
Carmen Granules Reserva Carignan 75Cl,15.00,20.00,SAVE 5.00 Was  20.00 Now  15.00,Tesco - IRL,20190219
Georges Vigouro Pigmentum Malbec Cahors 75Cl,15.00,,,Tesco - IRL,20190219
Little Black Dress Cabernet Sauvignon 750Ml,13.00,,,Tesco - IRL,20190219
Campaneo Old Vines Tempranillo 75Cl,8.00,,,Tesco - IRL,20190219
Smirnoff Red Label Vodka 1 Litre,28.00,,Only 28.00 Smirnoff Red Label Vod...,Tesco - IRL,20190219
Captain Morgan Original Spiced Gold 70Cl,23.00,,Only 23.00 Captain Morgan Origina...,Tesco - IRL,20190219
Absolut Swedish Vodka 70Cl,26.69,,,Tesco - IRL,20190219
Bacardi Carta Blanca Rum 70Cl,20.00,24.99,SAVE 4.99 Was  24.99 Now  20.00,Tesco - IRL,20190219
