Name,Price,Offer,PreviousPrice,Retailer,DateScraped
19 Crimes Red Blend (75 cl),10.00,"WAS 14.99, NOW 10.00, SAVE 4.99",14.99,SuperValu,20210316
19 Crimes Sauv Block (75 cl),10.00,"WAS 14.99, NOW 10.00, SAVE 4.99",14.99,SuperValu,20210316
Abellio Albarino (75 cl),10.00,"WAS 13.99, NOW 10.00, SAVE 3.99",13.99,SuperValu,20210316
Albert Glas Pinot Noir Black Label (75 cl),15.00,"WAS 19.99, NOW 15.00, SAVE 4.99",19.99,SuperValu,20210316
Albert Glas Riesling Black Label (75 cl),15.00,,,SuperValu,20210316
Budweiser Lager Bottles 6 Pack (330 ml),9.00,"WAS 11.50, NOW 9.00, SAVE 2.50",11.50,SuperValu,20210316
Budweiser Lager Cans 12 Pack (500 ml),15.00,"WAS 19.00, NOW 15.00, SAVE 4.00",19.00,SuperValu,20210316
Carling Lager Cans 8 Pack (500 ml),9.50,"WAS 10.67, NOW 9.50, SAVE 1.17",10.67,SuperValu,20210316
Carlsberg Danish Pilsner Lager Cans 12 Pack (500 ml),15.00,"WAS 19.00, NOW 15.00, SAVE 4.00",19.00,SuperValu,20210316
Carlsberg Danish Pilsner Lager Cans 8 Pack (500 ml),12.50,"WAS 14.00, NOW 12.50, SAVE 1.50",14.00,SuperValu,20210316
5 Lamp Lager Bottle (500 ml),2.50,"WAS 3.00, NOW 2.50, SAVE 0.50",3.00,SuperValu,20210316
5 Lamps Pale Ale (500 ml),2.50,"WAS 3.00, NOW 2.50, SAVE 0.50",3.00,SuperValu,20210316
8D Citra Single Hop IPA (440 ml),2.50,"WAS 3.00, NOW 2.50, SAVE 0.50",3.00,SuperValu,20210316
8d Howling Gale Irish Pale Ale (440 ml),2.50,"WAS 3.00, NOW 2.50, SAVE 0.50",3.00,SuperValu,20210316
8d Seisiún IPA (440 ml),2.50,"WAS 3.00, NOW 2.50, SAVE 0.50",3.00,SuperValu,20210316
Bulmers Cans 8 Pack (500 ml),12.50,"WAS 14.00, NOW 12.50, SAVE 1.50",14.00,SuperValu,20210316
Bulmers Irish Cider Bottles 20 Pack (300 ml),18.00,"WAS 20.00, NOW 18.00, SAVE 2.00",20.00,SuperValu,20210316
Bulmers Irish Cider Bottles 6 Pack (330 ml),9.00,"WAS 10.00, NOW 9.00, SAVE 1.00",10.00,SuperValu,20210316
Bulmers Irish Cider Cans 12 Pack (500 ml),15.00,"WAS 19.00, NOW 15.00, SAVE 4.00",19.00,SuperValu,20210316
Bulmers Light Irish Cider Bottles 20 Pack (300 ml),18.00,"WAS 20.00, NOW 18.00, SAVE 2.00",20.00,SuperValu,20210316
Absolut Vodka (70 cl),21.00,"WAS 27.85, NOW 21.00, SAVE 6.85",27.85,SuperValu,20210316
Absolut Vodka (20 cl),7.00,"WAS 7.99, NOW 7.00, SAVE 0.99",7.99,SuperValu,20210316
Aperol Spritz (70 cl),17.00,"WAS 20.00, NOW 17.00, SAVE 3.00",20.00,SuperValu,20210316
Bacardi Carta Blanca Rum (70 cl),23.00,"WAS 26.49, NOW 23.00, SAVE 3.49",26.49,SuperValu,20210316
Bacardi Coconut Rum (70 cl),22.00,"WAS 25.50, NOW 22.00, SAVE 3.50",25.50,SuperValu,20210316
Brew Dog Punk Alcohol Free IPA Cans 4 Pack (330 ml),6.00,"WAS 7.00, NOW 6.00, SAVE 1.00",7.00,SuperValu,20210316
Bulmers 0.0 Bottles 4 Pack (330 ml),5.00,"WAS 6.00, NOW 5.00, SAVE 1.00",6.00,SuperValu,20210316
Carlsberg 0.0% 6pk (330 ml),5.00,"WAS 6.00, NOW 5.00, SAVE 1.00",6.00,SuperValu,20210316
Bavaria 0.0% Beer (500 ml),1.29,,,SuperValu,20210316
Beck's Alcohol-Free Bottles 6 Pack (275 ml),4.95,,,SuperValu,20210316
Dingle Original Vodka (70 cl),32.00,"WAS 38.00, NOW 32.00, SAVE 6.00",38.00,SuperValu,20210316
Eristoff Original Vodka (70 cl),19.00,"WAS 23.20, NOW 19.00, SAVE 4.20",23.20,SuperValu,20210316
Finlandia Classic Vodka (70 cl),22.00,"WAS 27.50, NOW 22.00, SAVE 5.50",27.50,SuperValu,20210316
"Smirnoff Infusions Raspberry, Rhubarb and Vanilla (50 cl)",16.00,"WAS 19.00, NOW 16.00, SAVE 3.00",19.00,SuperValu,20210316
Smirnoff Vodka (70 cl),18.00,"WAS 26.00, NOW 18.00, SAVE 8.00",26.00,SuperValu,20210316
Absolut Citron Vodka (70 cl),26.30,,,SuperValu,20210316
Absolut Raspberri Vodka (70 cl),26.30,,,SuperValu,20210316
Absolut Vodka (35 cl),14.60,,,SuperValu,20210316
Fris Vodka (70 cl),22.00,,,SuperValu,20210316
Grey Goose Vodka (70 cl),59.00,,,SuperValu,20210316
Huzzar Vodka (1 L),32.20,,,SuperValu,20210316
Huzzar Vodka (200 ml),6.65,,,SuperValu,20210316
Huzzar Vodka (70 cl),22.59,,,SuperValu,20210316
Ketel One Vodka (70 cl),40.00,,,SuperValu,20210316
"Smirnoff Infusions Orange, Grapefruit & Bitters (50 cl)",16.00,,,SuperValu,20210316
Smirnoff Vodka (20 ml),7.50,,,SuperValu,20210316
Smirnoff Vodka (1 L),34.00,,,SuperValu,20210316
Bushmills Irish Whiskey Gift Tube (70 cl),25.00,"WAS 28.29, NOW 25.00, SAVE 3.29",28.29,SuperValu,20210316
Bushmills Triple Distilled Irish Whiskey (70 cl),25.00,"WAS 28.29, NOW 25.00, SAVE 3.29",28.29,SuperValu,20210316
Connemara Single Malt Irish Whiskey (70 cl),35.00,"WAS 42.00, NOW 35.00, SAVE 7.00",42.00,SuperValu,20210316
Dunphy's Irish Whiskey (70 cl),21.00,"WAS 24.55, NOW 21.00, SAVE 3.55",24.55,SuperValu,20210316
Glendalough Double Barrel Whiskey (70 cl),32.00,"WAS 38.00, NOW 32.00, SAVE 6.00",38.00,SuperValu,20210316
Grace O'Malley Blended Irish Whiskey (70 cl),29.00,"WAS 35.00, NOW 29.00, SAVE 6.00",35.00,SuperValu,20210316
