Name,Price,PreviousPrice,Offer,Retailer,DateScraped
Tesco Finest* Premier Cru Brut Champagne 75Cl,35.00,,,Tesco - IRL,20190111
Castillo San Lorenzo Reserva 75Cl,10.00,15.00,SAVE 5.00 Was  15.00 Now  10.00,Tesco - IRL,20190111
Las Moras Love - Malbec 75Cl,15.00,,,Tesco - IRL,20190111
Most Wanted Chardonnay 75Cl,10.00,12.00,SAVE 2.00 Was  12.00 Now  10.00,Tesco - IRL,20190111
Graffigna Centenario Malbec 75Cl,10.00,13.99,SAVE 3.99 Was  13.99 Now  10.00,Tesco - IRL,20190111
Dona Paula Malbec Rose 75Cl,15.00,,,Tesco - IRL,20190111
1000 Stories Zinfandel 750Ml,20.00,,,Tesco - IRL,20190111
Cune Ribera Del Duero 75Cl,15.00,,,Tesco - IRL,20190111
Finca Las Moras Dada Art Malbec 75Cl,10.00,13.00,SAVE 3.00 Was  13.00 Now  10.00,Tesco - IRL,20190111
Casa Roscoli Organic Grillo Doc 75Cl,12.00,,,Tesco - IRL,20190111
Little Black Dress Cabernet Sauvignon 750Ml,13.00,,,Tesco - IRL,20190111
The Guv'nor 750Ml,12.00,,,Tesco - IRL,20190111
Louis Delaunay Champagne Cuve Prestige 75Cl,32.00,,,Tesco - IRL,20190111
Jam Shed Shiraz 75Cl,9.00,12.00,SAVE 3.00 Was  12.00 Now  9.00,Tesco - IRL,20190111
Yalumba Organic Shiraz 75Cl,16.00,,,Tesco - IRL,20190111
19 Crimes Red Wine 75Cl,15.00,,,Tesco - IRL,20190111
Dark Horse Merlot 75Cl,15.00,,,Tesco - IRL,20190111
Pinot Pinot Pinot Grigio Sparkling 200Ml,3.00,,Any 4 For 10.00,Tesco - IRL,20190111
Changyu Noble Dragon Cabernet Gernicht 75Cl,15.00,,,Tesco - IRL,20190111
Mcguigan Black Label Red 750Ml,12.00,,,Tesco - IRL,20190111
Most Wanted Albarino 75Cl,15.00,,,Tesco - IRL,20190111
Marques Del Atrio Crianza Rioja 75Cl,15.00,,,Tesco - IRL,20190111
Bella Cucina Prseco Fizzante Semi 75Cl,12.00,,,Tesco - IRL,20190111
Stormhoek Cabernet 75Cl,8.00,,Only 8.00 Stormhoek Cabernet,Tesco - IRL,20190111
Faustino Rivero Ulecia Reserva Rioja 75Cl,10.00,15.00,SAVE 5.00 Was  15.00 Now  10.00,Tesco - IRL,20190111
Faustino Rivero Ulecia Reserva 75Cl,12.00,,,Tesco - IRL,20190111
Mons Igneus Appassimento 75Cl,12.00,,,Tesco - IRL,20190111
Paco And Lola Albarino 75Cl,15.00,,,Tesco - IRL,20190111
Blossom Hill Pale Rose 75Cl,12.00,,,Tesco - IRL,20190111
S R Medalla Real Gold Cabernet Sauvignon 75Cl,20.00,,,Tesco - IRL,20190111
