Name,Price,Offer,PreviousPrice,Retailer,DateScraped
A Winter's Tale Amontillado Sherry (75 Centiliter),14.49,,,SuperValu,20190722
Abellio Albarino (75 Centiliter),10.00,,,SuperValu,20190722
Alterra Special Reserve Chardonnay (75 Centiliter),7.99,,,SuperValu,20190722
Annelise PInot Grigio (75 Centilitre),11.99,,,SuperValu,20190722
Apothic Red (75 Centiliter),15.00,,,SuperValu,20190722
Beamish Draught Stout (500 Millilitre),2.02,,,SuperValu,20190722
Birra Moretti 4 Pack Bottle (330 Millilitre),7.00,"WAS 7.50, NOW 7.00, SAVE 0.50",7.50,SuperValu,20190722
Birra Moretti Bottle (660 Millilitre),3.50,,,SuperValu,20190722
Budweiser Bottle 20 Pack (300 Millilitre),14.00,"WAS 18.00, NOW 14.00, SAVE 4.00",18.00,SuperValu,20190722
Budweiser Cans 8 Pack (500 Millilitre),10.00,"WAS 12.00, NOW 10.00, SAVE 2.00",12.00,SuperValu,20190722
9 White Deer Brewery Stag Saor Kolsch Style (500 Millilitre),3.59,,,SuperValu,20190722
Blacks 1601 Lager (500 Millilitre),3.29,,,SuperValu,20190722
Blacks Kinsales Pale Ale (500 Millilitre),3.39,,,SuperValu,20190722
Blacks Marching Powder IPA (500 Millilitre),3.29,,,SuperValu,20190722
Brooklyn Lager Can (355 Millilitre),2.70,,,SuperValu,20190722
Bulmers Bottle's 20 Pack (300 Millilitre),18.00,"WAS 20.00, NOW 18.00, SAVE 2.00",20.00,SuperValu,20190722
Bulmers Light Can (500 Millilitre),2.20,,,SuperValu,20190722
Bulmers Original Cider (1 Litre),5.35,,,SuperValu,20190722
Bulmers Original Cider Can (500 Millilitre),2.20,,,SuperValu,20190722
Druids Celtic Cider Can 8 Pack (500 Millilitre),11.00,"WAS 13.00, NOW 11.00, SAVE 2.00",13.00,SuperValu,20190722
Absolut Blue Vodka (70 Centiliter),21.00,"WAS 27.85, NOW 21.00, SAVE 6.85",27.85,SuperValu,20190722
Absolut Vodka (20 Centilitre),7.00,"WAS 7.99, NOW 7.00, SAVE 0.99",7.99,SuperValu,20190722
Bacardi Superior (70 Centiliter),18.00,"WAS 26.49, NOW 18.00, SAVE 8.49",26.49,SuperValu,20190722
Bell's Original Scotch Whisky (70 Centiliter),20.00,"WAS 27.00, NOW 20.00, SAVE 7.00",27.00,SuperValu,20190722
Bombay Sapphire London Dry Gin (70 Centiliter),26.00,"WAS 31.00, NOW 26.00, SAVE 5.00",31.00,SuperValu,20190722
Ciroc Ultra Premium Vodka (70 Centilitre),40.00,"WAS 58.00, NOW 40.00, SAVE 18.00",58.00,SuperValu,20190722
Eristoff Original Vodka (70 Centiliter),19.00,"WAS 23.20, NOW 19.00, SAVE 4.20",23.20,SuperValu,20190722
Finlandia Classic Vodka (70 Centiliter),22.00,"WAS 27.50, NOW 22.00, SAVE 5.50",27.50,SuperValu,20190722
Huzzar Vodka (1 Litre),25.00,"WAS 32.20, NOW 25.00, SAVE 7.20",32.20,SuperValu,20190722
Huzzar Vodka (70 Centiliter),20.00,"WAS 22.59, NOW 20.00, SAVE 2.59",22.59,SuperValu,20190722
Ketel One Botanical Peach And Orange Bloosom (70 Centiliter),25.00,"WAS 30.00, NOW 25.00, SAVE 5.00",30.00,SuperValu,20190722
Ketel One Vodka (70 Centiliter),30.00,"WAS 40.00, NOW 30.00, SAVE 10.00",40.00,SuperValu,20190722
"Smirnoff Infusions Orange, Grapefruit Bitters (50 Centiliter)",16.00,"WAS 19.00, NOW 16.00, SAVE 3.00",19.00,SuperValu,20190722
"Smirnoff Infusions Raspb, Rhub & Vanilla (50 Centiliter)",16.00,"WAS 19.00, NOW 16.00, SAVE 3.00",19.00,SuperValu,20190722
Smirnoff Vodka Red (70 Centiliter),20.00,"WAS 25.00, NOW 20.00, SAVE 5.00",25.00,SuperValu,20190722
Absolut Grapefruit (70 Centiliter),26.00,,,SuperValu,20190722
Dingle Vodka (70 Centilitre),38.00,,,SuperValu,20190722
Huzzar Vodka (350 Millilitre),12.05,,,SuperValu,20190722
Huzzar Vodka (200 Millilitre),6.65,,,SuperValu,20190722
Smirnoff Gold Liquer (70 Centiliter),31.90,,,SuperValu,20190722
Smirnoff Vodka (1 Litre),33.00,,,SuperValu,20190722
Smirnoff Vodka Red (20 Centilitre),7.00,,,SuperValu,20190722
Bushmills Gift Tube (70 Centiliter),20.00,"WAS 28.29, NOW 20.00, SAVE 8.29",28.29,SuperValu,20190722
Bushmills Irish Whiskey (70 Centiliter),20.00,"WAS 28.29, NOW 20.00, SAVE 8.29",28.29,SuperValu,20190722
Bushmills Red Bush (70 Centiliter),26.00,"WAS 29.99, NOW 26.00, SAVE 3.99",29.99,SuperValu,20190722
Powers Gold Label (350 Millilitre),14.50,"WAS 17.00, NOW 14.50, SAVE 2.50",17.00,SuperValu,20190722
Powers Gold Label (1 Litre),35.00,"WAS 45.00, NOW 35.00, SAVE 10.00",45.00,SuperValu,20190722
Roe & Co Irish Whiskey (70 Centiliter),35.00,"WAS 45.00, NOW 35.00, SAVE 10.00",45.00,SuperValu,20190722
Tullamore Dew Whiskey (70 Centiliter),24.00,"WAS 31.13, NOW 24.00, SAVE 7.13",31.13,SuperValu,20190722
West Cork 10 Year Old Single Malt Whiskey (70 Centiliter),35.00,"WAS 38.00, NOW 35.00, SAVE 3.00",38.00,SuperValu,20190722
Black Bush (70 Centiliter),32.40,,,SuperValu,20190722
Bushmills 10 Year Old Malt Whiskey (70 Centilitre),47.25,,,SuperValu,20190722
Connemara Single Malt (70 Centiliter),42.00,,,SuperValu,20190722
Dubliner Blended Whiskey (70 Centiliter),30.00,,,SuperValu,20190722
Dunphy's Irish Whiskey (70 Centiliter),24.55,,,SuperValu,20190722
Glendalough Double Barrel Whiskey (70 Centilitre),34.99,,,SuperValu,20190722
Ha'Penny Whiskey (70 Centilitre),45.99,,,SuperValu,20190722
Hyde Irish Whiskey Special Reserve (70 Centilitre),55.00,,,SuperValu,20190722
Jack Ryan Irish Single Malt 46% (70 Centilitre),69.99,,,SuperValu,20190722
Jameson Baby (71 Millilitre),4.70,,,SuperValu,20190722
Jameson Black Barrel (70 Centiliter),53.00,,,SuperValu,20190722
Jameson Caskmates IPA (70 Centiliter),39.00,,,SuperValu,20190722
Jameson Cooper's Croze (70 Centilitre),69.99,,,SuperValu,20190722
Jameson Distiller's Safe (70 Centiliter),69.99,,,SuperValu,20190722
Jameson Irish Whiskey (1 Litre),47.65,,,SuperValu,20190722
Jameson Irish Whiskey (200 Millilitre),11.80,,,SuperValu,20190722
Jameson Stout Caskmates (70 Centiliter),39.00,,,SuperValu,20190722
Jameson Triple Distilled Irish Whiskey (35 Centilitre),19.59,,,SuperValu,20190722
Jameson Triple Distilled Irish Whiskey (70 Centiliter),30.49,,,SuperValu,20190722
Kilbeggan Whiskey (70 Centiliter),27.27,,,SuperValu,20190722
Method & Madness Single Grain (70 Centiliter),50.00,,,SuperValu,20190722
Midleton Barry Crockett Single Pot (70 Centiliter),250.00,,,SuperValu,20190722
Midleton Very Rare Whiskey (70 Centiliter),180.00,,,SuperValu,20190722
Paddy Irish Whiskey (1 Litre),42.00,,,SuperValu,20190722
Paddy Irish Whiskey (350 Millilitre),15.99,,,SuperValu,20190722
Paddy Irish Whiskey (200 Millilitre),10.77,,,SuperValu,20190722
Paddy Triple Distilled Irish Whiskey (70 Centiliter),27.85,,,SuperValu,20190722
Pearse 5 Year Old Blended Whiskey (70 70 CL),39.99,,,SuperValu,20190722
Pearse 5 Year Old Single Malt (70 70 CL),80.00,,,SuperValu,20190722
Powers 3 Swallow Release (70 Centiliter),46.00,,,SuperValu,20190722
Powers Gold Label (200 Millilitre),10.70,,,SuperValu,20190722
Powers Irish Whiskey Gold Label (70 Centiliter),29.79,,,SuperValu,20190722
Powers Johns Lane (70 Centiliter),69.50,,,SuperValu,20190722
Proper No. Twelve (70 Centiliter),33.00,,,SuperValu,20190722
Redbreast 15 Year Old Whiskey (70 Millilitre),101.50,,,SuperValu,20190722
RedBrest Whiskey 12 Year Old (70 Centiliter),66.00,,,SuperValu,20190722
Single Pot Still Mixed 4 Pack 50ml (5 Centiliter),35.50,,,SuperValu,20190722
Slane Irish Whiskey (70 Centiliter),33.00,,,SuperValu,20190722
Teeling Whiskey (70 Centiliter),37.99,,,SuperValu,20190722
TEELING WHISKEY SINGLE MALT (70 Centiliter),54.99,,,SuperValu,20190722
West Cork DHA Chasca Single Malt Irish Whiskey (70 Centiliter),39.00,,,SuperValu,20190722
West Cork Original Irish Whiskey (70 Centiliter),24.99,,,SuperValu,20190722
Writers Tears Copper Pot Whiskey (70 Centiliter),44.99,,,SuperValu,20190722
Bulleit Bourbon (70 Centiliter),35.00,"WAS 43.00, NOW 35.00, SAVE 8.00",43.00,SuperValu,20190722
Jack Daniels 40% (70 Centiliter),25.00,"WAS 34.75, NOW 25.00, SAVE 9.75",34.75,SuperValu,20190722
Jack Daniels Tennessee Honey (70 Centiliter),25.00,"WAS 34.75, NOW 25.00, SAVE 9.75",34.75,SuperValu,20190722
Buffalo Trace (70 70 CL),37.00,,,SuperValu,20190722
Jack Daniels 40% (200 Millilitre),12.00,,,SuperValu,20190722
Jim Beam (70 Centiliter),28.99,,,SuperValu,20190722
Cardhu Whiskey (70 Centiliter),35.00,"WAS 43.99, NOW 35.00, SAVE 8.99",43.99,SuperValu,20190722
Teachers Scotch Whiskey (70 Centiliter),25.45,,,SuperValu,20190722
Teachers Scotch Whisky (20 Centiliter),8.45,,,SuperValu,20190722
Hennessy Cognac (200 Millilitre),13.15,,,SuperValu,20190722
Hennessy Fine De Cognac (70 Centiliter),49.50,,,SuperValu,20190722
Hennessy Very Special (1 Litre),52.95,,,SuperValu,20190722
Hennessy Very Special Brandy (350 Millilitre),21.85,,,SuperValu,20190722
