Name,Price,Offer,PreviousPrice,Retailer,DateScraped
Abellio Albarino (75 cl),9.84,"WAS 13.76, NOW 9.84, SAVE 3.92",13.76,SuperValu,20201013
Albert Glas Pinot Noir Qba Brown Label (75 cl),11.80,,,SuperValu,20201013
Albert Glas Riesling Qba Brown Label (75 cl),11.80,,,SuperValu,20201013
Apothic Red (75 cl),11.80,,,SuperValu,20201013
Aresti Estate Selection Cabernet Sauvignon (75 cl),7.87,"WAS 10.81, NOW 7.87, SAVE 2.94",10.81,SuperValu,20201013
Birra Moretti Bottle (660 Millilitre),3.44,,,SuperValu,20201013
Budweiser Can (500 Millilitre),2.45,,,SuperValu,20201013
Carling Can (500 Millilitre),1.62,,,SuperValu,20201013
Carlsberg 0.0% 4 Pack (330 Millilitre),4.92,"WAS 6.89, NOW 4.92, SAVE 1.97",6.89,SuperValu,20201013
Carlsberg Lager Can (500 Millilitre),2.35,,,SuperValu,20201013
12 Acres Single Malt Lager (500 Millilitre),3.24,,,SuperValu,20201013
8D Citra Single Hop Ipa (440 Millilitre),3.64,,,SuperValu,20201013
8d Howling Gale Irish Pale Ale (440 Millilitre),3.44,,,SuperValu,20201013
8d Seisiun Ipa (440 Millilitre),3.44,,,SuperValu,20201013
9 White Deer Brewery Stag Saor Kolsch Style (500 Millilitre),3.53,,,SuperValu,20201013
Bulmers Cans 8 Pack (500 Millilitre),12.30,"WAS 13.77, NOW 12.30, SAVE 1.47",13.77,SuperValu,20201013
Druids Celtic Cider Can 8 Pack (500 Millilitre),10.47,"WAS 12.79, NOW 10.47, SAVE 2.32",12.79,SuperValu,20201013
Kopparberg Apple Rose Bottle (500 Millilitre),3.39,,,SuperValu,20201013
Kopparberg Mixed Fruit 4% Bottle (500 Millilitre),3.39,,,SuperValu,20201013
Kopparberg Strawberry & Lime Bottle (500 Millilitre),3.39,,,SuperValu,20201013
Bacardi And Cola Can (250 Millilitre),2.56,,,SuperValu,20201013
Bell's Original Scotch Whisky (70 cl),21.64,"WAS 26.56, NOW 21.64, SAVE 4.92",26.56,SuperValu,20201013
Bushmills Gift Tube (70 cl),24.59,"WAS 27.83, NOW 24.59, SAVE 3.24",27.83,SuperValu,20201013
Bushmills Irish Whiskey (70 cl),24.59,"WAS 27.83, NOW 24.59, SAVE 3.24",27.83,SuperValu,20201013
Captain Morgan Spiced Gold Rum & Cola Premixed Can (250 Millilitre),2.46,,,SuperValu,20201013
Dingle Vodka (70 cl),31.48,"WAS 37.38, NOW 31.48, SAVE 5.90",37.38,SuperValu,20201013
Finlandia Classic Vodka (70 cl),21.64,"WAS 27.05, NOW 21.64, SAVE 5.41",27.05,SuperValu,20201013
Huzzar Vodka (70 cl),19.67,"WAS 22.22, NOW 19.67, SAVE 2.55",22.22,SuperValu,20201013
Ketel One Botanical Peach and Orange Vodka (70 cl),24.59,"WAS 29.51, NOW 24.59, SAVE 4.92",29.51,SuperValu,20201013
Smirnoff Vodka Red (70 cl),19.67,"WAS 25.58, NOW 19.67, SAVE 5.91",25.58,SuperValu,20201013
Absolut Citron (70 cl),25.87,,,SuperValu,20201013
Absolut Grapefruit (70 cl),25.58,,,SuperValu,20201013
Absolut Raspberri (70 cl),25.87,,,SuperValu,20201013
Absolut Standard (70 cl),27.40,,,SuperValu,20201013
Absolut Vanilla (70 cl),25.58,,,SuperValu,20201013
Absolut Vodka (20 cl),7.86,,,SuperValu,20201013
Absolut Vodka (1 Litre),39.64,,,SuperValu,20201013
Absolut Vodka (35 cl),14.36,,,SuperValu,20201013
Ciroc Ultra Premium Vodka (70 cl),57.06,,,SuperValu,20201013
Eristoff Original Vodka (70 cl),18.69,,,SuperValu,20201013
Grey Goose Vodka (70 cl),58.04,,,SuperValu,20201013
Huzzar Vodka (200 Millilitre),6.54,,,SuperValu,20201013
Huzzar Vodka (1 Litre),31.68,,,SuperValu,20201013
Smirnoff 20cl Pmp 7.50 (20 Millilitre),7.38,,,SuperValu,20201013
"Smirnoff Infusions Orange, Grapefruit & Bitters (50 cl)",18.69,,,SuperValu,20201013
