Name,Price,Offer,PreviousPrice,Retailer,DateScraped
19 Crimes Red Blend (75 cl),10.00,"WAS 14.99, NOW 10.00, SAVE 4.99",14.99,SuperValu,20210629
19 Crimes Sauv Block (75 cl),10.00,"WAS 14.99, NOW 10.00, SAVE 4.99",14.99,SuperValu,20210629
Abellio Albarino (75 cl),10.00,"WAS 13.99, NOW 10.00, SAVE 3.99",13.99,SuperValu,20210629
Alterra Special Reserve Cabernet Sauvignon (75 cl),7.99,"WAS 15.99, NOW 7.99, SAVE 8.00",15.99,SuperValu,20210629
Alterra Special Reserve Chardonnay (75 cl),7.99,"WAS 15.99, NOW 7.99, SAVE 8.00",15.99,SuperValu,20210629
Budweiser Lager Bottles 6 Pack (330 ml),9.00,"WAS 11.50, NOW 9.00, SAVE 2.50",11.50,SuperValu,20210629
Budweiser Lager Cans 8 Pack (500 ml),13.00,"WAS 14.50, NOW 13.00, SAVE 1.50",14.50,SuperValu,20210629
Cobra Bottles 12 Pack (330 ml),13.00,"WAS 14.99, NOW 13.00, SAVE 1.99",14.99,SuperValu,20210629
Heineken Lager Bottles 20 Pack (330 ml),18.00,"WAS 24.50, NOW 18.00, SAVE 6.50",24.50,SuperValu,20210629
Heineken Lager Cans 8 Pack (500 ml),13.00,"WAS 15.00, NOW 13.00, SAVE 2.00",15.00,SuperValu,20210629
Asahi Super Dry Beer 4 Pack (330 ml),6.89,"WAS 8.00, NOW 6.89, SAVE 1.11",8.00,SuperValu,20210629
12 Acres Pallet Jack India Pale Lager (440 ml),3.25,,,SuperValu,20210629
5 Lamp Lager Bottle (500 ml),3.00,,,SuperValu,20210629
5 Lamps Pale Ale (500 ml),3.00,,,SuperValu,20210629
8D Citra Single Hop IPA (440 ml),3.00,,,SuperValu,20210629
Druids Celtic Cider Cans 8 Pack (500 ml),11.00,"WAS 13.00, NOW 11.00, SAVE 2.00",13.00,SuperValu,20210629
Kopparberg Rose Apple Cider (500 ml),3.00,"WAS 3.45, NOW 3.00, SAVE 0.45",3.45,SuperValu,20210629
Kopparberg Strawberry & Lime Cider (500 ml),3.00,"WAS 3.45, NOW 3.00, SAVE 0.45",3.45,SuperValu,20210629
Orchard Thieves Apple Cider Cans 8 Pack (500 ml),12.50,"WAS 13.50, NOW 12.50, SAVE 1.00",13.50,SuperValu,20210629
Orchard Thieves Light Apple Cider Cans 8 Pack (500 ml),12.50,"WAS 13.50, NOW 12.50, SAVE 1.00",13.50,SuperValu,20210629
Absolut Citron Vodka (70 cl),21.00,"WAS 26.30, NOW 21.00, SAVE 5.30",26.30,SuperValu,20210629
Absolut Grapefruit Vodka (70 cl),21.00,"WAS 26.00, NOW 21.00, SAVE 5.00",26.00,SuperValu,20210629
