Name,Price,PreviousPrice,Offer,Retailer,DateScraped
 Monkey 47 50cl ,49.00,56.07,,OBriens,20201117
 Hendricks Gin 70cl ,35.00,42.25,,OBriens,20201117
 Bushmills Black Bush 70cl ,25.95,31.48,,OBriens,20201117
 Drumshanbo Gunpowder Gin 70cl ,39.95,43.28,,OBriens,20201117
 Woodford Reserve 70cl ,37.00,42.30,,OBriens,20201117
 Gordons 70cl ,19.95,25.53,,OBriens,20201117
 Green Spot Whiskey 70cl ,55.00,58.98,,OBriens,20201117
 Bombay Sapphire Gin 70cl ,27.00,31.14,,OBriens,20201117
 Dingle Gin 70cl ,32.50,35.41,,OBriens,20201117
 Redbreast 12YO 70cl ,60.00,61.98,,OBriens,20201117
 Jameson 70cl ,25.00,29.51,,OBriens,20201117
 Hennessy VS 70cl ,33.95,37.38,,OBriens,20201117
 Ciroc Vodka 70cl ,30.00,49.19,,OBriens,20201117
 Jack Daniels 70cl ,27.95,34.38,,OBriens,20201117
 Yellow Spot Whiskey 70cl ,69.95,78.65,,OBriens,20201117
 Kilbeggan 70cl ,19.95,27.05,,OBriens,20201117
 Dingle Single Malt 70cl ,65.00,68.86,,OBriens,20201117
 Tanqueray Gin 70cl ,25.00,31.48,,OBriens,20201117
 Roku Japanese Gin 70cl ,29.95,44.22,,OBriens,20201117
 Bacardi Carta Blanca 1L ,30.00,37.38,,OBriens,20201117
 Bombay Bramble 70cl ,27.00,32.46,,OBriens,20201117
 Method & Madness Gin 70cl ,39.00,49.19,,OBriens,20201117
 Buffalo Trace Bourbon 70cl ,32.00,39.35,,OBriens,20201117
 Bushmills White Label 70cl ,28.53,,,OBriens,20201117
 Jameson Cold Brew 70cl ,25.00,30.50,,OBriens,20201117
 Jameson Caskmates IPA 70cl ,28.95,37.38,,OBriens,20201117
 Malfy Rosa 70cl ,29.00,35.41,,OBriens,20201117
 Smirnoff 70cl ,19.95,24.54,,OBriens,20201117
 Pimms No. 1 70cl ,23.61,,,OBriens,20201117
 Roe & Co Irish Whiskey 70cl ,35.00,41.32,,OBriens,20201117
 Beefeater 24 70cl ,30.00,39.35,,OBriens,20201117
 Maker's Mark Bourbon 70cl ,36.00,45.25,,OBriens,20201117
 Beefeater Blood Orange 70cl ,19.95,25.58,,OBriens,20201117
 Malibu 70cl ,15.95,21.15,,OBriens,20201117
 Bosford Pink Gin 70cl ,26.56,,,OBriens,20201117
 Jack Daniels Single Barrel 70cl ,58.29,,,OBriens,20201117
 Grey Goose Vodka 70cl ,50.00,57.06,,OBriens,20201117
