Name,Price,PreviousPrice,Offer,Retailer,DateScraped
 Tanqueray Gin 70cl ,25.00,32.00,,OBriens,20210420
 Drumshanbo Gunpowder Gin 70cl ,39.95,44.00,,OBriens,20210420
 Bushmills Black Bush 70cl ,25.00,32.00,,OBriens,20210420
 Green Spot Whiskey 70cl ,59.95,,,OBriens,20210420
 Redbreast 12YO 70cl ,60.00,63.00,,OBriens,20210420
 Yellow Spot Whiskey 70cl ,79.95,,,OBriens,20210420
 Roe & Co Irish Whiskey 70cl ,42.00,,,OBriens,20210420
 Dingle Gin 70cl ,32.50,36.00,,OBriens,20210420
 Jameson 70cl ,30.00,,,OBriens,20210420
 Monkey 47 50cl ,45.00,57.00,,OBriens,20210420
 Kilbeggan 70cl ,22.95,27.50,,OBriens,20210420
 Gordons 70cl ,19.95,25.95,,OBriens,20210420
 Tanqueray 10 70cl ,40.00,50.00,,OBriens,20210420
 Bombay Sapphire Gin 70cl ,25.00,31.65,,OBriens,20210420
 Smirnoff 70cl ,19.95,24.95,,OBriens,20210420
 Knappogue 12YO 70cl ,47.00,,,OBriens,20210420
 Method & Madness Gin 70cl ,35.00,50.00,,OBriens,20210420
 Hennessy VS 70cl ,35.00,38.00,,OBriens,20210420
 Jameson Caskmates Stout 70cl ,38.00,,,OBriens,20210420
 Jameson Crested Whiskey 70cl ,36.50,,,OBriens,20210420
 Hendricks Gin 70cl ,39.00,,,OBriens,20210420
 Connemara Peated Malt 70cl ,41.00,,,OBriens,20210420
 Powers Gold Label 70cl ,31.95,,,OBriens,20210420
 Teeling Small Batch Glass Pack 70cl ,45.00,,,OBriens,20210420
 Bacardi Carta Blanca 70cl ,26.50,,,OBriens,20210420
 Grenadine Syrup 75cl ,8.00,,,OBriens,20210420
 Fercullen 8 YO 70cl ,46.00,,,OBriens,20210420
 Roku Japanese Gin 70cl ,34.95,44.95,,OBriens,20210420
 Jack Daniels 70cl ,34.95,,,OBriens,20210420
 Jameson Black Barrel 70cl ,50.00,,,OBriens,20210420
 Grey Goose Vodka 70cl ,58.00,,,OBriens,20210420
 Teeling Small Batch Whiskey 70cl ,35.00,38.00,,OBriens,20210420
 Glendalough Double Barrel 70cl ,35.00,,,OBriens,20210420
 Malfy Rosa 70cl ,29.00,36.00,,OBriens,20210420
 Bombay Bramble 70cl ,27.00,33.00,,OBriens,20210420
 Powers '3 Swallow' Release 70cl ,47.50,,,OBriens,20210420
 Drumshanbo Gunpowder Sardinian Citrus 70cl ,39.95,49.00,,OBriens,20210420
 Paddy 70cl ,28.95,,,OBriens,20210420
 Slane Whiskey 70cl ,33.00,,,OBriens,20210420
 Midleton Barry Crocket Legacy Single Pot Still ,250.00,,,OBriens,20210420
 Sexton Irish Whiskey 70cl ,40.00,,,OBriens,20210420
 Cointreau 70cl ,35.00,,,OBriens,20210420
 Jameson Caskmates IPA 70cl ,38.00,,,OBriens,20210420
 Beefeater Gin 70cl ,19.95,26.00,,OBriens,20210420
 Maker's Mark Bourbon 70cl ,46.00,,,OBriens,20210420
 Suntory Whisky Toki 70cl ,45.00,,,OBriens,20210420
 Waterford Distillery Ratheadon 1.2 70cl ,70.00,,,OBriens,20210420
 Five Farms Irish Cream 70cl ,34.95,,,OBriens,20210420
 Clonakilty Minke Gin 70cl ,40.00,44.95,,OBriens,20210420
 Baileys 70cl ,21.50,,,OBriens,20210420
 Writers' Tears Double Oak 70cl ,57.00,,,OBriens,20210420
 Glendalough Rose Gin 70cl ,30.00,37.95,,OBriens,20210420
 Writers' Tears Copper Pot 70cl ,42.00,47.00,,OBriens,20210420
 Passoa 70cl ,18.00,21.00,,OBriens,20210420
 Hennessy VSOP 70cl ,60.00,,,OBriens,20210420
 Kahlua 70cl ,26.50,,,OBriens,20210420
 Drumshanbo 43% Pot Still 70cl ,59.00,,,OBriens,20210420
 Writers' Tears Red head Single Malt 70cl ,60.00,,,OBriens,20210420
 Beefeater 24 70cl ,25.00,40.00,,OBriens,20210420
 Bols Blue Curacao 70cl ,23.00,,,OBriens,20210420
 Jameson Cold Brew 70cl ,25.00,31.00,,OBriens,20210420
 Tullamore Dew 12YO 70cl ,40.00,48.00,,OBriens,20210420
 Glendalough Wild Botanical 70cl ,30.00,38.00,,OBriens,20210420
 Kraken Black Spiced Rum 70cl ,29.95,,,OBriens,20210420
 Aperol 1L ,22.95,,,OBriens,20210420
 Graham Norton Pink Gin 70cl ,35.00,42.00,,OBriens,20210420
 Garnish Island 70cl ,30.00,37.95,,OBriens,20210420
 Malfy Arancia 70cl ,29.00,36.00,,OBriens,20210420
 Southern Comfort 70cl ,22.00,29.50,,OBriens,20210420
 Absolut 70cl ,28.50,,,OBriens,20210420
 Disaronno 70cl ,26.00,30.00,,OBriens,20210420
 Bols Triple Sec 70cl ,31.00,,,OBriens,20210420
 Patron Silver 70cl ,66.00,,,OBriens,20210420
 Kilbeggan Pot Still 70cl ,55.00,,,OBriens,20210420
 Teeling Blackpitts 70cl ,55.00,60.00,,OBriens,20210420
 Tanqueray Lovage 1L ,58.60,72.00,,OBriens,20210420
 Glenmorangie 10 Year Old 70cl ,53.50,,,OBriens,20210420
 Waterford Distillery Organic: Gaia 1.1 ,77.00,,,OBriens,20210420
 Blackwater Strawberry Gin 50cl ,25.00,32.00,,OBriens,20210420
 Chivas Regal 12YO 70cl ,45.00,,,OBriens,20210420
 Berthas Revenge Gin 70cl ,45.00,49.95,,OBriens,20210420
 Captain Morgan Spiced 1L ,29.95,35.00,,OBriens,20210420
 Teeling Single Grain Whiskey 70cl ,47.95,,,OBriens,20210420
 Glendalough Pot Still 70cl ,55.00,,,OBriens,20210420
 Beefeater Blood Orange 70cl ,19.95,26.00,,OBriens,20210420
 Natterjack Irish Whiskey 70cl ,52.00,,,OBriens,20210420
 Finlandia Vodka 70cl ,20.00,26.50,,OBriens,20210420
 Chinnery Gin 70cl ,45.00,50.00,,OBriens,20210420
 Bacardi Carta Blanca 1L ,30.00,38.00,,OBriens,20210420
 Gordons Pink Gin 70cl ,22.95,25.00,,OBriens,20210420
 Teeling Single Malt 70cl ,55.00,,,OBriens,20210420
 Powers Johns Lane 70cl ,65.00,,,OBriens,20210420
 Bols Creme de Menthe Green70cl ,23.00,,,OBriens,20210420
 Bulleit Bourbon 70cl ,42.00,,,OBriens,20210420
 Kilbeggan Small Batch Rye 70cl ,55.00,,,OBriens,20210420
 Drumshanbo Gunpowder Ceramic 70cl ,44.95,49.00,,OBriens,20210420
 Sambuca Ramazzotti 70cl ,26.00,,,OBriens,20210420
 Cork Dry Gin 70cl ,20.95,24.95,,OBriens,20210420
 Ciroc Vodka 70cl ,50.00,,,OBriens,20210420
 Jack Daniel's Tennessee Apple 70cl ,28.00,34.74,,OBriens,20210420
 Tullamore Dew 70cl ,31.95,,,OBriens,20210420
 Method & Madness Single Pot Still 70cl ,75.00,,,OBriens,20210420
 Dingle Single Malt 70cl ,70.00,,,OBriens,20210420
 Roe & Co Cask Strength 2020 ,75.00,,,OBriens,20210420
 Listoke 1777 Irish Gin 70cl ,35.00,40.00,,OBriens,20210420
 Jack Daniels Honey 70cl ,28.00,34.95,,OBriens,20210420
 Tyrconnell Single Malt 43% 70cl ,39.95,,,OBriens,20210420
 Casamigos Blanco 70cl ,72.00,,,OBriens,20210420
 Absolut Citron 70cl ,29.50,,,OBriens,20210420
 Ricard 70cl ,31.50,,,OBriens,20210420
 Jameson Blenders Dog 70cl ,70.00,,,OBriens,20210420
 Irishman 12YO Single Malt 70cl ,65.00,,,OBriens,20210420
 Irishman Single Malt 70cl ,50.00,,,OBriens,20210420
 Bushmills Caribbean Rum Cask Finish 70cl ,30.00,,,OBriens,20210420
 Skellig Six18 Pot Still Gin 70cl ,43.00,48.00,,OBriens,20210420
 Absolut Grapefruit 70cl Btl ,29.50,,,OBriens,20210420
 Bombay Sapphire English Estate 70cl ,27.00,33.50,,OBriens,20210420
 Archers Peach Schnapps 70cl ,21.00,,,OBriens,20210420
 Johnnie Walker BlackLabel 70cl ,35.00,42.95,,OBriens,20210420
 The Famous Grouse 70cl ,28.00,,,OBriens,20210420
 St Germain 50cl ,32.00,,,OBriens,20210420
 Havana Club 3YO 70cl ,27.95,,,OBriens,20210420
 Irish Mist 70cl ,33.00,,,OBriens,20210420
 Benedictine 70cl ,40.50,,,OBriens,20210420
 Mor Irish Gin 70cl ,40.00,48.00,,OBriens,20210420
 Blackwater Gin 50cl ,25.00,30.00,,OBriens,20210420
 Jack Daniels Gentleman Jack 70cl ,48.00,,,OBriens,20210420
 Jack Daniels Single Barrel 70cl ,59.25,,,OBriens,20210420
 Waterford Distillery Bannow Island 1.2 70cl ,70.00,,,OBriens,20210420
 Game of Thrones Johnnie Walker A Song Of Fire 70cl ,47.65,54.00,,OBriens,20210420
 Teeling Single Pot Still 70cl ,55.00,,,OBriens,20210420
 Olmeca Tequila Reposado 70cl ,33.50,,,OBriens,20210420
 Malibu 70cl ,21.50,,,OBriens,20210420
 Jim Beam 70cl ,28.50,,,OBriens,20210420
 Grand Marnier 70cl ,42.00,,,OBriens,20210420
 Havana Club 7YO 70cl ,41.00,,,OBriens,20210420
 Waterford Distillery Ballykilcavan 70cl ,70.00,,,OBriens,20210420
 The Dubliner 10YO Whiskey 70cl ,43.00,49.95,,OBriens,20210420
 Proper No. 12 70cl ,33.00,,,OBriens,20210420
 Midleton Dair Ghaelach Tree 4 Knockrath ,310.00,,,OBriens,20210420
 Tails Classic Mojito 1L ,36.00,,,OBriens,20210420
 Red Spot Whiskey 70cl ,130.00,,,OBriens,20210420
 Graham Norton Gin 70cl ,35.00,42.00,,OBriens,20210420
 Captain Morgan Spiced 70cl ,22.95,26.50,,OBriens,20210420
 Beefeater Pink Gin 70cl ,19.95,24.95,,OBriens,20210420
 Canadian Club 70cl ,35.00,,,OBriens,20210420
 Zacapa Rum 70cl ,68.00,,,OBriens,20210420
