Name,Price,PreviousPrice,Offer,Retailer,DateScraped
Tesco Finest* Premier Cru Brut Champagne 75Cl,35.00,,,Tesco - IRL,20190312
Little Black Dress Pinot Grigio 750Ml,13.00,,,Tesco - IRL,20190312
Stormhoek Cabernet 75Cl,8.00,12.00,SAVE 4.00 Was  12.00 Now  8.00,Tesco - IRL,20190312
Most Wanted Albarino 75Cl,12.00,15.00,SAVE 3.00 Was  15.00 Now  12.00,Tesco - IRL,20190312
Most Wanted Chardonnay 75Cl,9.00,12.00,SAVE 3.00 Was  12.00 Now  9.00,Tesco - IRL,20190312
Casa Roscoli Organic Primitivo 75Cl,12.00,,,Tesco - IRL,20190312
Dark Horse Merlot 75Cl,15.00,,,Tesco - IRL,20190312
Changyu Noble Dragon Riesling 75Cl,15.00,,,Tesco - IRL,20190312
Mons Igneus Appassimento 75Cl,12.00,,,Tesco - IRL,20190312
Santa Rita Wine Maker Sauvignon Blanc 75Cl,9.00,18.00,SAVE 9.00 Was  18.00 Now  9.00,Tesco - IRL,20190312
Marques Del Atrio White Rioja 75Cl,10.00,12.00,SAVE 2.00 Was  12.00 Now  10.00,Tesco - IRL,20190312
Casa Roscoli Organic Grillo Doc 75Cl,12.00,,,Tesco - IRL,20190312
Dona Paula Malbec Rose 75Cl,15.00,,,Tesco - IRL,20190312
Dark Horse Sauvignon Blanc 75Cl,15.00,,,Tesco - IRL,20190312
Paco And Lola Albarino 75Cl,15.00,,,Tesco - IRL,20190312
1000 Stories Zinfandel 750Ml,20.00,,,Tesco - IRL,20190312
Dona Paula 1100 75Cl,15.00,20.00,SAVE 5.00 Was  20.00 Now  15.00,Tesco - IRL,20190312
Faustino Rivero Ulecia Tempra- Nillo Rioja 75Cl,9.00,12.00,SAVE 3.00 Was  12.00 Now  9.00,Tesco - IRL,20190312
Cune Ribera Del Duero 75Cl,12.00,15.00,SAVE 3.00 Was  15.00 Now  12.00,Tesco - IRL,20190312
Yellow Tail Malbec 75Cl,12.00,,,Tesco - IRL,20190312
I Heart Asti 75Cl,18.00,,,Tesco - IRL,20190312
Marques Del Atrio Crianza Rioja 75Cl,12.00,15.00,SAVE 3.00 Was  15.00 Now  12.00,Tesco - IRL,20190312
Faustino Rivero Albario Rias Baixas 75Cl,12.00,,,Tesco - IRL,20190312
Yalumba Y Series Cabernet Sauvignon 75Cl,16.00,,,Tesco - IRL,20190312
Mcguigan Reserve Shiraz 750Ml,14.00,,,Tesco - IRL,20190312
Catena Malbec 75Cl,20.00,,,Tesco - IRL,20190312
Torres Sangre De Toro Verdejo 75Cl,12.49,,,Tesco - IRL,20190312
Jam Shed Shiraz 75Cl,9.00,12.00,SAVE 3.00 Was  12.00 Now  9.00,Tesco - IRL,20190312
Mcguigan Reserve Cabernet 75Cl,12.00,,,Tesco - IRL,20190312
Most Wanted Zinfandel 75Cl,12.00,,,Tesco - IRL,20190312
Campaneo Old Vines Garnacha 75Cl,8.00,,,Tesco - IRL,20190312
Barefoot Shiraz Cabernet 75Cl,10.00,,,Tesco - IRL,20190312
Mcguigan Bin Sauvignon Blanc 750Ml,16.00,,,Tesco - IRL,20190312
Yalumba Y Series Unwood Chardonay 75Cl,16.00,,,Tesco - IRL,20190312
Mionetto Organic Prosecco 75Cl,18.00,,,Tesco - IRL,20190312
Tallero Frizzante Spago 75Cl,12.00,,,Tesco - IRL,20190312
Little Black Dress Cabernet Sauvignon 750Ml,13.00,,,Tesco - IRL,20190312
Louis Delaunay Champagne Cuve Prestige 75Cl,32.00,,,Tesco - IRL,20190312
