Name,Price,Offer,PreviousPrice,Retailer,DateScraped
1000 Stories Zinfandel (75 Centilitre),18.00,,,SuperValu,20200802
19 Crimes Red Blend (75 Centilitre),10.00,"WAS 14.99, NOW 10.00, SAVE 4.99",14.99,SuperValu,20200802
19 Crimes Sauv Block (75 Centilitre),10.00,,,SuperValu,20200802
A Winter's Tale (1 Litre),17.99,,,SuperValu,20200802
A Winter's Tale Amontillado Sherry (75 Centilitre),14.49,,,SuperValu,20200802
Birra Moretti 4 Pack Bottle (330 Millilitre),7.00,"WAS 7.50, NOW 7.00, SAVE 0.50",7.50,SuperValu,20200802
Budweiser Can 12 Pack (500 Millilitre),15.00,"WAS 19.00, NOW 15.00, SAVE 4.00",19.00,SuperValu,20200802
Budweiser Lager Can 8 Pack (500 Millilitre),12.50,"WAS 14.00, NOW 12.50, SAVE 1.50",14.00,SuperValu,20200802
Carlsberg Bottle 20 Pack (300 Millilitre),16.00,"WAS 18.00, NOW 16.00, SAVE 2.00",18.00,SuperValu,20200802
Carlsberg Cans 12 Pack (500 Millilitre),15.00,"WAS 19.00, NOW 15.00, SAVE 4.00",19.00,SuperValu,20200802
Blue Moon 4Pack Can (330 Millilitre),8.00,"WAS 8.50, NOW 8.00, SAVE 0.50",8.50,SuperValu,20200802
Brewdog Punk Alcohol Free 4 Pack Can (330 Millilitre),6.00,"WAS 7.00, NOW 6.00, SAVE 1.00",7.00,SuperValu,20200802
Erdinger Non-Alcoholic 6 Pack (330 Millilitre),6.99,"WAS 7.99, NOW 6.99, SAVE 1.00",7.99,SuperValu,20200802
Krombacher Non Alcoholic Pils 6 Pack (330 Millilitre),6.99,"WAS 7.99, NOW 6.99, SAVE 1.00",7.99,SuperValu,20200802
Lomza Export Bottle (500 Millilitre),2.50,,,SuperValu,20200802
Appleman's Cider 8 Pack Can (500 Millilitre),12.50,"WAS 13.00, NOW 12.50, SAVE 0.50",13.00,SuperValu,20200802
Bulmers Bottle's 20 Pack (300 Millilitre),18.00,"WAS 20.00, NOW 18.00, SAVE 2.00",20.00,SuperValu,20200802
