Name,Price,PreviousPrice,Offer,Retailer,DateScraped
 Drumshanbo Gunpowder Gin 70cl ,39.95,44.00,,OBriens,20210518
 Bushmills Black Bush 70cl ,25.95,32.00,,OBriens,20210518
 Tanqueray Gin 70cl ,32.00,,,OBriens,20210518
 Redbreast 12YO 70cl ,63.00,,,OBriens,20210518
 Dingle Gin 70cl ,36.00,,,OBriens,20210518
 Green Spot Whiskey 70cl ,59.95,,,OBriens,20210518
 Yellow Spot Whiskey 70cl ,79.95,,,OBriens,20210518
 Bombay Sapphire Gin 70cl ,26.95,31.65,,OBriens,20210518
 Gordons 70cl ,19.95,25.95,,OBriens,20210518
 Jameson 70cl ,30.00,,,OBriens,20210518
 Method & Madness Gin 70cl ,50.00,,,OBriens,20210518
 Roe & Co Irish Whiskey 70cl ,42.00,,,OBriens,20210518
 Kilbeggan 70cl ,27.50,,,OBriens,20210518
 Hennessy VS 70cl ,35.00,38.00,,OBriens,20210518
 Knappogue 12YO 70cl ,47.00,,,OBriens,20210518
 Jameson Caskmates Stout 70cl ,29.00,38.00,,OBriens,20210518
 Aperol 70cl ,15.95,19.95,,OBriens,20210518
 Jameson Crested Whiskey 70cl ,36.50,,,OBriens,20210518
 Roku Japanese Gin 70cl ,44.95,,,OBriens,20210518
 Jameson Black Barrel 70cl ,50.00,,,OBriens,20210518
 Powers Gold Label 70cl ,25.00,31.95,,OBriens,20210518
 Bacardi Carta Blanca 70cl ,22.95,26.50,,OBriens,20210518
 Maker's Mark Bourbon 70cl ,36.00,46.00,,OBriens,20210518
 Absolut 70cl ,19.95,28.50,,OBriens,20210518
 Bombay Bramble 70cl ,33.00,,,OBriens,20210518
 Glendalough Wild Botanical 70cl ,38.00,,,OBriens,20210518
 Jameson Cold Brew 70cl ,25.00,31.00,,OBriens,20210518
 Jameson Caskmates IPA 70cl ,29.00,38.00,,OBriens,20210518
 Teeling Small Batch Whiskey 70cl ,38.00,,,OBriens,20210518
 Garnish Island 70cl ,32.00,37.95,,OBriens,20210518
 Jack Daniels 70cl ,34.95,,,OBriens,20210518
 Beefeater Gin 70cl ,20.00,26.00,,OBriens,20210518
 Grey Goose Vodka 70cl ,58.00,,,OBriens,20210518
 Passoa 70cl ,18.00,21.00,,OBriens,20210518
 Fercullen 8 YO 70cl ,46.00,,,OBriens,20210518
 Sexton Irish Whiskey 70cl ,35.00,40.00,,OBriens,20210518
 Suntory Whisky Toki 70cl ,45.00,,,OBriens,20210518
 Paddy 70cl ,22.95,28.95,,OBriens,20210518
 Kahlua 70cl ,21.00,26.50,,OBriens,20210518
 Patron Silver 70cl ,66.00,,,OBriens,20210518
 Slane Whiskey 70cl ,33.00,,,OBriens,20210518
 Powers '3 Swallow' Release 70cl ,47.50,,,OBriens,20210518
 Beefeater 24 70cl ,40.00,,,OBriens,20210518
 Berthas Revenge Gin 70cl ,45.00,49.95,,OBriens,20210518
 Bacardi Carta Blanca 1L ,38.00,,,OBriens,20210518
 Kraken Black Spiced Rum 70cl ,29.95,,,OBriens,20210518
 Waterford Distillery Ratheadon 1.2 70cl ,70.00,,,OBriens,20210518
 Aperol 1L ,22.95,,,OBriens,20210518
 Absolut 1L ,28.00,34.95,,OBriens,20210518
 Disaronno 70cl ,26.00,30.00,,OBriens,20210518
 Writers' Tears Double Oak 70cl ,57.00,,,OBriens,20210518
 Hendricks Gin 70cl ,36.95,39.00,,OBriens,20210518
 Captain Morgan Spiced 1L ,29.95,35.00,,OBriens,20210518
 Teeling Blackpitts 70cl ,60.00,,,OBriens,20210518
 Beefeater Blood Orange 70cl ,20.00,26.00,,OBriens,20210518
 Graham Norton Pink Gin 70cl ,42.00,,,OBriens,20210518
 Tanqueray Lovage 1L ,58.60,72.00,,OBriens,20210518
 Blackwater Strawberry Gin 50cl ,32.00,,,OBriens,20210518
 Writers' Tears Red head Single Malt 70cl ,60.00,,,OBriens,20210518
 Finlandia Vodka 70cl ,26.50,,,OBriens,20210518
 Beefeater Pink Gin 70cl ,20.00,24.95,,OBriens,20210518
 Southern Comfort 70cl ,29.50,,,OBriens,20210518
 Listoke 1777 Irish Gin 70cl ,35.00,40.00,,OBriens,20210518
 Bombay Sapphire English Estate 70cl ,33.50,,,OBriens,20210518
 Tullamore Dew 70cl ,25.00,31.95,,OBriens,20210518
 Glenmorangie 10 Year Old 70cl ,53.50,,,OBriens,20210518
 Bulleit Bourbon 70cl ,42.00,,,OBriens,20210518
 Sambuca Ramazzotti 70cl ,22.00,26.00,,OBriens,20210518
 Gordons Pink Gin 70cl ,25.00,,,OBriens,20210518
 Powers Johns Lane 70cl ,65.00,,,OBriens,20210518
 Cork Dry Gin 70cl ,21.00,24.95,,OBriens,20210518
 Patron XO Cafe 70cl ,47.00,,,OBriens,20210518
 Teeling Single Grain Whiskey 70cl ,47.95,,,OBriens,20210518
 Waterford Distillery Organic: Gaia 1.1 ,77.00,,,OBriens,20210518
 Ciroc Vodka 70cl ,50.00,,,OBriens,20210518
 Drumshanbo Gunpowder Sardinian Citrus 70cl ,39.95,49.00,,OBriens,20210518
 Kilbeggan Pot Still 70cl ,55.00,,,OBriens,20210518
 Jack Daniel's Tennessee Apple 70cl ,34.74,,,OBriens,20210518
 Glendalough Pot Still 70cl ,55.00,,,OBriens,20210518
 Bacardi Spiced 70cl ,26.50,,,OBriens,20210518
 Chivas Regal 12YO 70cl ,45.00,,,OBriens,20210518
 Skellig Six18 Pot Still Gin 70cl ,42.00,48.00,,OBriens,20210518
 Natterjack Irish Whiskey 70cl ,52.00,,,OBriens,20210518
 Dingle Single Malt 70cl ,70.00,,,OBriens,20210518
 Teeling Single Malt 70cl ,55.00,,,OBriens,20210518
 Proper No. 12 70cl ,33.00,,,OBriens,20210518
 Graham Norton Gin 70cl ,42.00,,,OBriens,20210518
 Chambord Liqueur 50cl ,23.00,,,OBriens,20210518
 Jack Daniels Single Barrel 70cl ,59.25,,,OBriens,20210518
 Archers Peach Schnapps 70cl ,21.00,,,OBriens,20210518
 Redbreast Lustau 70cl ,69.00,,,OBriens,20210518
 Kilbeggan Small Batch Rye 70cl ,55.00,,,OBriens,20210518
 Tyrconnell Single Malt 43% 70cl ,39.95,,,OBriens,20210518
 Olmeca Tequila Reposado 70cl ,31.00,33.50,,OBriens,20210518
 Johnnie Walker BlackLabel 70cl ,42.95,,,OBriens,20210518
 Irishman 12YO Single Malt 70cl ,65.00,,,OBriens,20210518
 Blackwater Gin 50cl ,30.00,,,OBriens,20210518
