Name,Price,Offer,PreviousPrice,Retailer,DateScraped
19 Crimes Red Blend (75 cl),10.00,"WAS 14.75, NOW 10.00, SAVE 4.75",14.75,SuperValu,20201229
19 Crimes Sauv Block (75 cl),10.00,"WAS 14.75, NOW 10.00, SAVE 4.75",14.75,SuperValu,20201229
A Winter's Tale Amontillado Sherry (75 cl),12.50,"WAS 14.25, NOW 12.50, SAVE 1.75",14.25,SuperValu,20201229
Abellio Albarino (75 cl),10.00,"WAS 13.76, NOW 10.00, SAVE 3.76",13.76,SuperValu,20201229
Albert Glas Pinot Noir Black Label (75 cl),15.00,"WAS 19.66, NOW 15.00, SAVE 4.66",19.66,SuperValu,20201229
Birra Moretti Bottle (660 ml),3.44,,,SuperValu,20201229
Budweiser Bottle 20 Pack (300 ml),15.74,"WAS 17.71, NOW 15.74, SAVE 1.97",17.71,SuperValu,20201229
Budweiser Can (500 ml),2.45,,,SuperValu,20201229
Budweiser Special Can 24 Pack (500 ml),25.00,"WAS 27.05, NOW 25.00, SAVE 2.05",27.05,SuperValu,20201229
Carling Can (500 ml),1.62,,,SuperValu,20201229
12 Acres Pallet Jack India Pale Lager (440 ml),3.34,,,SuperValu,20201229
8D Citra Single Hop Ipa (440 ml),3.64,,,SuperValu,20201229
8d Seisiun Ipa (440 ml),3.44,,,SuperValu,20201229
9 White Deer Brewery Stag Saor Kolsch Style (500 ml),3.53,,,SuperValu,20201229
Asahi Super Dry (620 ml),3.79,,,SuperValu,20201229
Appleman's Cider Can (500 ml),2.02,,,SuperValu,20201229
Bulmers Bottle's 20 Pack (300 ml),17.71,"WAS 19.67, NOW 17.71, SAVE 1.96",19.67,SuperValu,20201229
Bulmers Light 8 Pack Cans (500 ml),12.30,"WAS 13.77, NOW 12.30, SAVE 1.47",13.77,SuperValu,20201229
Bulmers Light Bottle 20 Pack (300 ml),17.71,"WAS 19.67, NOW 17.71, SAVE 1.96",19.67,SuperValu,20201229
Druids Celtic Cider Can 8 Pack (500 ml),10.82,"WAS 12.79, NOW 10.82, SAVE 1.97",12.79,SuperValu,20201229
Absolut Citron (70 cl),20.66,"WAS 25.87, NOW 20.66, SAVE 5.21",25.87,SuperValu,20201229
Absolut Grapefruit (70 cl),20.66,"WAS 25.58, NOW 20.66, SAVE 4.92",25.58,SuperValu,20201229
Absolut Raspberri (70 cl),20.66,"WAS 25.87, NOW 20.66, SAVE 5.21",25.87,SuperValu,20201229
Absolut Standard (70 cl),20.66,"WAS 27.40, NOW 20.66, SAVE 6.74",27.40,SuperValu,20201229
Absolut Vanilla (70 cl),20.66,"WAS 25.58, NOW 20.66, SAVE 4.92",25.58,SuperValu,20201229
Brewdog Punk Alcohol Free 4 Pack Can (330 ml),5.90,"WAS 6.89, NOW 5.90, SAVE 0.99",6.89,SuperValu,20201229
Ceder's Crisp Non Alcoholic (50 cl),19.67,"WAS 24.59, NOW 19.67, SAVE 4.92",24.59,SuperValu,20201229
Erdinger Non-Alcoholic 6 Pack (330 ml),6.88,"WAS 7.86, NOW 6.88, SAVE 0.98",7.86,SuperValu,20201229
Heineken 0.0 Can Tray (330 ml),1.00,"WAS 1.48, NOW 1.00, SAVE 0.48",1.48,SuperValu,20201229
Krombacher Non Alcoholic Pils 6 Pack (330 ml),6.88,"WAS 7.86, NOW 6.88, SAVE 0.98",7.86,SuperValu,20201229
Absolut Vodka (35 cl),11.80,"WAS 14.36, NOW 11.80, SAVE 2.56",14.36,SuperValu,20201229
Ciroc Ultra Premium Vodka (70 cl),40.00,"WAS 57.06, NOW 40.00, SAVE 17.06",57.06,SuperValu,20201229
Dingle Vodka (70 cl),31.48,"WAS 37.38, NOW 31.48, SAVE 5.90",37.38,SuperValu,20201229
Eristoff Original Vodka (70 cl),18.69,"WAS 22.82, NOW 18.69, SAVE 4.13",22.82,SuperValu,20201229
Finlandia Classic Vodka (70 cl),21.64,"WAS 27.05, NOW 21.64, SAVE 5.41",27.05,SuperValu,20201229
Fris Vodka (70 cl),17.71,"WAS 21.64, NOW 17.71, SAVE 3.93",21.64,SuperValu,20201229
Huzzar Vodka (70 cl),19.67,"WAS 22.22, NOW 19.67, SAVE 2.55",22.22,SuperValu,20201229
Ketel One Botanical Peach and Orange Vodka (70 cl),24.59,"WAS 29.51, NOW 24.59, SAVE 4.92",29.51,SuperValu,20201229
Ketel One Vodka (70 cl),25.00,"WAS 39.35, NOW 25.00, SAVE 14.35",39.35,SuperValu,20201229
"Smirnoff Infusions Orange, Grapefruit & Bitters (50 cl)",15.74,"WAS 18.69, NOW 15.74, SAVE 2.95",18.69,SuperValu,20201229
"Smirnoff Infusions Raspberry, Rhubarb and Vanilla (50 cl)",15.74,"WAS 18.69, NOW 15.74, SAVE 2.95",18.69,SuperValu,20201229
Smirnoff Vodka Red (70 cl),17.71,"WAS 25.58, NOW 17.71, SAVE 7.87",25.58,SuperValu,20201229
Wyborowa (70 cl),20.17,"WAS 25.33, NOW 20.17, SAVE 5.16",25.33,SuperValu,20201229
Absolut Vodka (1 L),39.64,,,SuperValu,20201229
Belvedere Vodka (70 cl),56.86,,,SuperValu,20201229
Grey Goose Vodka (70 cl),58.04,,,SuperValu,20201229
Huzzar Vodka (1 L),31.68,,,SuperValu,20201229
Huzzar Vodka (200 ml),6.54,,,SuperValu,20201229
Smirnoff 20cl Pmp 7.50 (20 ml),7.38,,,SuperValu,20201229
Smirnoff Vodka (1 L),33.45,,,SuperValu,20201229
Black Bush (70 cl),25.58,"WAS 32.46, NOW 25.58, SAVE 6.88",32.46,SuperValu,20201229
Bushmills 10 Year Old Malt Whiskey (70 cl),39.35,"WAS 47.22, NOW 39.35, SAVE 7.87",47.22,SuperValu,20201229
Bushmills Gift Tube (70 cl),24.59,"WAS 27.83, NOW 24.59, SAVE 3.24",27.83,SuperValu,20201229
Bushmills Irish Whiskey (70 cl),24.59,"WAS 27.83, NOW 24.59, SAVE 3.24",27.83,SuperValu,20201229
Connemara Single Malt (70 cl),34.43,"WAS 41.32, NOW 34.43, SAVE 6.89",41.32,SuperValu,20201229
Drumshanbo Single Pot Still Whiskey (70 cl),53.12,"WAS 58.04, NOW 53.12, SAVE 4.92",58.04,SuperValu,20201229
Dubliner Blended Whiskey (70 cl),24.59,"WAS 29.51, NOW 24.59, SAVE 4.92",29.51,SuperValu,20201229
Glendalough Double Barrel Whiskey (70 cl),32.46,"WAS 37.38, NOW 32.46, SAVE 4.92",37.38,SuperValu,20201229
Glendalough Pot Stil Whiskey 70cl (70 cl),49.19,"WAS 54.11, NOW 49.19, SAVE 4.92",54.11,SuperValu,20201229
Grace O'Malley Blended Irish Whiskey (70 cl),28.53,"WAS 34.43, NOW 28.53, SAVE 5.90",34.43,SuperValu,20201229
Hyde 1916 Single Grain (70 cl),37.38,"WAS 47.22, NOW 37.38, SAVE 9.84",47.22,SuperValu,20201229
Jameson Cold Brew (70 cl),24.59,"WAS 30.00, NOW 24.59, SAVE 5.41",30.00,SuperValu,20201229
Jameson Crested (70 cl),29.51,"WAS 35.91, NOW 29.51, SAVE 6.40",35.91,SuperValu,20201229
Jameson Irish Whiskey (200 ml),9.59,"WAS 11.61, NOW 9.59, SAVE 2.02",11.61,SuperValu,20201229
Jameson Stout Caskmates (70 cl),27.55,"WAS 38.37, NOW 27.55, SAVE 10.82",38.37,SuperValu,20201229
Jameson Triple Distilled Irish Whiskey (70 cl),23.00,"WAS 30.00, NOW 23.00, SAVE 7.00",30.00,SuperValu,20201229
Jameson Triple Distilled Irish Whiskey (35 cl),15.74,"WAS 19.27, NOW 15.74, SAVE 3.53",19.27,SuperValu,20201229
Kilbeggan Whiskey (70 cl),20.00,"WAS 26.83, NOW 20.00, SAVE 6.83",26.83,SuperValu,20201229
Method & Madness Single Grain (70 cl),44.27,"WAS 49.19, NOW 44.27, SAVE 4.92",49.19,SuperValu,20201229
Paddy Irish Whiskey (1 L),25.00,"WAS 41.32, NOW 25.00, SAVE 16.32",41.32,SuperValu,20201229
Paddy Triple Distilled Irish Whiskey (70 cl),20.00,"WAS 27.40, NOW 20.00, SAVE 7.40",27.40,SuperValu,20201229
Powers 3 Swallow Release (70 cl),32.46,"WAS 45.25, NOW 32.46, SAVE 12.79",45.25,SuperValu,20201229
Powers Gold Label (350 ml),13.77,"WAS 16.72, NOW 13.77, SAVE 2.95",16.72,SuperValu,20201229
Powers Gold Label (200 ml),8.85,"WAS 10.53, NOW 8.85, SAVE 1.68",10.53,SuperValu,20201229
Powers Irish Whiskey Gold Label (70 cl),20.00,"WAS 29.31, NOW 20.00, SAVE 9.31",29.31,SuperValu,20201229
Proclamation Blended Irish Whiskey (70 cl),29.50,"WAS 34.43, NOW 29.50, SAVE 4.93",34.43,SuperValu,20201229
Roe & Co Irish Whiskey (70 cl),30.00,"WAS 44.27, NOW 30.00, SAVE 14.27",44.27,SuperValu,20201229
Slane Irish Whiskey (70 cl),26.56,"WAS 32.46, NOW 26.56, SAVE 5.90",32.46,SuperValu,20201229
Teeling Whiskey (70 cl),34.43,"WAS 37.38, NOW 34.43, SAVE 2.95",37.38,SuperValu,20201229
Teeling Whiskey Single Grain (70 70 CL),44.27,"WAS 47.22, NOW 44.27, SAVE 2.95",47.22,SuperValu,20201229
TEELING WHISKEY SINGLE MALT (70 cl),51.15,"WAS 54.10, NOW 51.15, SAVE 2.95",54.10,SuperValu,20201229
The Dublin Liberties Copper Alley 10yr Old Single Malt Irish Whiskey (70 cl),49.19,"WAS 60.00, NOW 49.19, SAVE 10.81",60.00,SuperValu,20201229
The Dublin Liberties Oak Devil 5 Yr Old (70 cl),39.35,"WAS 48.20, NOW 39.35, SAVE 8.85",48.20,SuperValu,20201229
The Sexton (70 cl),33.00,"WAS 37.38, NOW 33.00, SAVE 4.38",37.38,SuperValu,20201229
Tullamore Dew Whiskey (70 cl),24.59,"WAS 30.50, NOW 24.59, SAVE 5.91",30.50,SuperValu,20201229
Writers Tears Copper Pot Whiskey (70 cl),39.35,"WAS 44.26, NOW 39.35, SAVE 4.91",44.26,SuperValu,20201229
Dingle Batch 5 Singlemalt (70 cl),68.86,,,SuperValu,20201229
Dubliner 10 Year Old Single Malt Irish Whiskey (70 cl),49.19,,,SuperValu,20201229
Dunphy's Irish Whiskey (70 cl),20.66,,,SuperValu,20201229
Greenspot Single Pot Still Irish Whiskey (70 cl),59.02,,,SuperValu,20201229
Irishman Founders Reserve Whiskey (70 cl),38.37,,,SuperValu,20201229
Jameson Black Barrel (70 cl),37.38,,,SuperValu,20201229
Jameson Caskmates IPA (70 cl),27.55,,,SuperValu,20201229
Jameson Glass Pack (70 cl),30.00,,,SuperValu,20201229
Jameson Irish Whiskey (1 L),46.88,,,SuperValu,20201229
Midleton Barry Crockett Single Pot (70 cl),245.93,,,SuperValu,20201229
Paddy Irish Whiskey (200 ml),10.59,,,SuperValu,20201229
Paddy Irish Whiskey (350 ml),15.73,,,SuperValu,20201229
Pearce 7 Year Old Whiskey (1 70 CL),44.27,,,SuperValu,20201229
Powers Gold Label (1 L),44.27,,,SuperValu,20201229
Powers Old Fashioned (50 cl),22.63,,,SuperValu,20201229
Red Earl Irish Whiskey (70 cl),29.43,,,SuperValu,20201229
Redbreast 15 Year Old Whiskey (70 ml),98.37,,,SuperValu,20201229
Redbreast Whiskey (70 cl),88.54,,,SuperValu,20201229
RedBrest Whiskey 12 Year Old (70 cl),63.94,,,SuperValu,20201229
Single Pot Still Mixed 4 Pack (5 cl),35.41,,,SuperValu,20201229
Teeling Whiskey Brabazon Series 2 (70 cl),76.73,,,SuperValu,20201229
Teeling Whiskey Revival Volume V (70 cl),118.05,,,SuperValu,20201229
Teeling Whiskey Small Batch Glass Pack (70 cl),39.35,,,SuperValu,20201229
Teeling Whiskey Small Batch Metal Gift Tin (70 cl),37.38,,,SuperValu,20201229
Teeling Whiskey Stout Cask Small Batch Collaboration (70 cl),49.19,,,SuperValu,20201229
Writers Tears Double Oak (70 cl),54.11,,,SuperValu,20201229
Writers Tears Potstill Glass Pack (1 70 CL),44.27,,,SuperValu,20201229
Yellow Spot 12 Year Old Single Pot Still (70 cl),78.70,,,SuperValu,20201229
Buffalo Trace (70 70 CL),33.45,"WAS 36.40, NOW 33.45, SAVE 2.95",36.40,SuperValu,20201229
Bulleit Bourbon Frontier Whiskey (70 cl),30.00,"WAS 43.28, NOW 30.00, SAVE 13.28",43.28,SuperValu,20201229
Jack Daniels 40% (70 cl),27.54,"WAS 34.18, NOW 27.54, SAVE 6.64",34.18,SuperValu,20201229
Jack Daniels Tennessee Apple (700 ml),27.54,"WAS 34.18, NOW 27.54, SAVE 6.64",34.18,SuperValu,20201229
Jack Daniels Tennessee Honey (70 cl),27.54,"WAS 34.18, NOW 27.54, SAVE 6.64",34.18,SuperValu,20201229
Jim Beam (70 cl),20.00,"WAS 28.52, NOW 20.00, SAVE 8.52",28.52,SuperValu,20201229
Markers Mark (70 cl),38.71,"WAS 45.24, NOW 38.71, SAVE 6.53",45.24,SuperValu,20201229
Southern Comfort (70 cl),21.64,"WAS 28.42, NOW 21.64, SAVE 6.78",28.42,SuperValu,20201229
Southern Comfort Black (70 70 CL),24.59,"WAS 33.45, NOW 24.59, SAVE 8.86",33.45,SuperValu,20201229
Jack Daniels Single Barrell (70 cl),59.86,,,SuperValu,20201229
Chivas Regal (70 cl),34.43,"WAS 42.30, NOW 34.43, SAVE 7.87",42.30,SuperValu,20201229
Famous Grouse Scotch Whiskey (70 cl),23.61,"WAS 29.51, NOW 23.61, SAVE 5.90",29.51,SuperValu,20201229
Johnnie Walker Black Label Blended Scotch Whisky (70 cl),34.43,"WAS 44.76, NOW 34.43, SAVE 10.33",44.76,SuperValu,20201229
Johnnie Walker Red Label Blended Scotch Whisky (70 cl),29.51,"WAS 32.96, NOW 29.51, SAVE 3.45",32.96,SuperValu,20201229
Teachers Scoth Whisky (70 cl),20.00,"WAS 25.04, NOW 20.00, SAVE 5.04",25.04,SuperValu,20201229
Bell's Original Scotch Whisky (70 cl),19.67,,,SuperValu,20201229
Glenfiddich Malt Whisky 12 Year Old (70 cl),51.15,,,SuperValu,20201229
Glenmorangie 10 Year Old (70 cl),52.63,,,SuperValu,20201229
Talisker 10 Year Old Whiskey (70 cl),51.73,,,SuperValu,20201229
Hennessy Very Special Cognac (70 cl),28.00,"WAS 37.38, NOW 28.00, SAVE 9.38",37.38,SuperValu,20201229
Martell VS Fine Cognac (70 cl),24.59,"WAS 35.76, NOW 24.59, SAVE 11.17",35.76,SuperValu,20201229
Remy Martin V.S.O.P Fine Champagne Cognac (70 cl),44.27,"WAS 53.12, NOW 44.27, SAVE 8.85",53.12,SuperValu,20201229
Courvoisier Very Special Cognac (70 cl),36.25,,,SuperValu,20201229
Hennessy Cognac (200 ml),13.28,,,SuperValu,20201229
Hennessy Very Special (1 L),53.07,,,SuperValu,20201229
Hennessy Very Special Brandy (350 ml),22.13,,,SuperValu,20201229
Hennessy Very Special Old Pale (70 cl),61.97,,,SuperValu,20201229
Baileys Strawberries & Cream (70 cl),10.00,"WAS 19.67, NOW 10.00, SAVE 9.67",19.67,SuperValu,20201229
Baileys The Original Irish Cream (70 cl),12.00,"WAS 23.61, NOW 12.00, SAVE 11.61",23.61,SuperValu,20201229
Five Farms Irish Cream (70 cl),29.51,"WAS 34.38, NOW 29.51, SAVE 4.87",34.38,SuperValu,20201229
Baileys The Original Irish Cream (1 L),30.50,,,SuperValu,20201229
Coole Swan Superior Irish Cream Liqueur (70 cl),25.00,,,SuperValu,20201229
Beefeater 24 London Dry Gin (70 cl),29.51,"WAS 38.37, NOW 29.51, SAVE 8.86",38.37,SuperValu,20201229
Beefeater Blood Orange (70 cl),20.66,"WAS 25.09, NOW 20.66, SAVE 4.43",25.09,SuperValu,20201229
Beefeater London Dry Gin (70 cl),21.64,"WAS 27.53, NOW 21.64, SAVE 5.89",27.53,SuperValu,20201229
