Name,Price,Offer,PreviousPrice,Retailer,DateScraped
Teeling Whiskey Small Batch Metal Gift Tin (70 Centilitre),38.00,,,SuperValu,20200407
Teeling Whiskey Trinity 3 Gift Pack (5 Centilitre),19.00,,,SuperValu,20200407
Tullamore Dew Original 2 Glass Pack (70 Centilitre),31.00,,,SuperValu,20200407
Tullamore Dew Whiskey (70 Centilitre),31.00,,,SuperValu,20200407
West Cork Original Irish Whiskey (70 Centilitre),24.99,,,SuperValu,20200407
Writers Tears Copper Pot Whiskey (70 Centilitre),44.99,,,SuperValu,20200407
Writers Tears Potstill Glass Pack (1 70 CL),45.00,,,SuperValu,20200407
Writers Tears Single Malt Red Head (70 Centilitre),50.00,,,SuperValu,20200407
Yellow Spot 12 Year Old Single Pot Still (70 Centilitre),80.00,,,SuperValu,20200407
Jack Daniels 40% (70 Centilitre),28.00,"WAS 34.75, NOW 28.00, SAVE 6.75",34.75,SuperValu,20200407
Southern Comfort Black (70 70 CL),25.00,"WAS 34.00, NOW 25.00, SAVE 9.00",34.00,SuperValu,20200407
Buffalo Trace (70 70 CL),37.00,,,SuperValu,20200407
Bulleit Bourbon Frontier Whiskey (70 Centilitre),44.00,,,SuperValu,20200407
Jack Daniels 40% (200 Millilitre),12.00,,,SuperValu,20200407
Jack Daniels Tennessee Honey (70 Centilitre),34.75,,,SuperValu,20200407
Jim Beam (70 Centilitre),28.99,,,SuperValu,20200407
Teachers Scoth Whisky (70 Centilitre),22.00,"WAS 25.45, NOW 22.00, SAVE 3.45",25.45,SuperValu,20200407
Bell's Original Scotch Whisky (70 Centilitre),27.00,,,SuperValu,20200407
Teachers Scotch Whisky (20 Centilitre),8.45,,,SuperValu,20200407
Remy Martin V.S.O.P Fine Champagne Cognac (70 Centilitre),45.00,"WAS 54.00, NOW 45.00, SAVE 9.00",54.00,SuperValu,20200407
Courvoisier Very Special Cognac (70 Centilitre),36.85,,,SuperValu,20200407
Hennessy Cognac (200 Millilitre),13.15,,,SuperValu,20200407
Hennessy Very Special Brandy (350 Millilitre),21.85,,,SuperValu,20200407
Hennessy Very Special Cognac (70 Centilitre),37.20,,,SuperValu,20200407
Baileys Almande Dairy Free (70 Centilitre),25.00,,,SuperValu,20200407
Baileys Strawberries & Cream (70 Centilitre),20.00,,,SuperValu,20200407
Baileys The Original Irish Cream (1 Litre),31.00,,,SuperValu,20200407
Coole Swan Superior Irish Cream Liqueur (70 Centilitre),25.00,,,SuperValu,20200407
Five Farms Irish Cream Gift Pack (70 Centilitre),34.95,,,SuperValu,20200407
Dingle Original Gin (70 Centilitre),32.00,"WAS 38.00, NOW 32.00, SAVE 6.00",38.00,SuperValu,20200407
Gordon's Dry Gin (70 Centilitre),22.00,"WAS 26.50, NOW 22.00, SAVE 4.50",26.50,SuperValu,20200407
Gordon's Pink Gin (70 Centilitre),22.00,"WAS 26.00, NOW 22.00, SAVE 4.00",26.00,SuperValu,20200407
Blackwater Barry's Tea Gin (50 Centilitre),35.00,,,SuperValu,20200407
Blackwater No 5 Gin (50 Centilitre),30.00,,,SuperValu,20200407
BLACKWATER WEXFORD STRAWBERRY IRISH GIN 500ML (500 Millilitre),32.00,,,SuperValu,20200407
Bombay Sapphire London Dry Gin (70 Centilitre),31.00,,,SuperValu,20200407
Ceder's Crisp Non Alcoholic (50 Centilitre),25.00,,,SuperValu,20200407
Cork Dry Gin (1 Litre),35.20,,,SuperValu,20200407
Cork Dry Gin (70 Centilitre),24.15,,,SuperValu,20200407
Drumshanbo Gunpowder Irish Gin (70 Centilitre),49.00,,,SuperValu,20200407
Gordon's Dry Gin (1 Litre),36.00,,,SuperValu,20200407
Gordon's Premium Pink Gin (1 Litre),37.00,,,SuperValu,20200407
Graham Norton's Irish Gin (70 Centilitre),39.00,,,SuperValu,20200407
Ha'Penny Rhubarb Gin (70 Centilitre),34.99,,,SuperValu,20200407
Hendrick's Gin (70 Centilitre),47.00,,,SuperValu,20200407
Jawbox Gin (70 Centilitre),44.99,,,SuperValu,20200407
Mil Mediterranean Gin (1 70 CL),34.99,,,SuperValu,20200407
Tanqueray Dry Gin (70 Centilitre),31.00,,,SuperValu,20200407
Tanqueray Flor de Sevilla Gin (70 Centilitre),40.00,,,SuperValu,20200407
Bacardi (20 Centilitre),9.70,,,SuperValu,20200407
Bacardi Carta Blanca (1 Litre),38.00,,,SuperValu,20200407
Bacardi Superior (70 Centilitre),26.49,,,SuperValu,20200407
Captain Morgan Osg 20cl Pmp 8.50 (20 Centilitre),8.50,,,SuperValu,20200407
Captain Morgan Pmp 13.50| 35cl (35 Centilitre),13.50,,,SuperValu,20200407
Captain Morgan Spiced Gold Rum (1 Litre),36.00,,,SuperValu,20200407
Diplomatico Mantuano (70 Centilitre),39.99,,,SuperValu,20200407
Kracken Spiced Rum (70 Centilitre),30.00,,,SuperValu,20200407
Malibu Caribbean Rum Original (35 Centilitre),12.64,,,SuperValu,20200407
Cointreau (70 Centilitre),33.00,"WAS 38.00, NOW 33.00, SAVE 5.00",38.00,SuperValu,20200407
Disaronno (500 Millilitre),18.00,"WAS 19.99, NOW 18.00, SAVE 1.99",19.99,SuperValu,20200407
Jagermeister (20 Centilitre),8.49,"WAS 8.69, NOW 8.49, SAVE 0.20",8.69,SuperValu,20200407
Tia Maria (70 Centilitre),20.00,"WAS 25.50, NOW 20.00, SAVE 5.50",25.50,SuperValu,20200407
Archers Peach Schnapps (70 Centilitre),22.00,,,SuperValu,20200407
Bols Grenadine Syrup (70 Centilitre),10.00,,,SuperValu,20200407
Captain Morgan Spiced Gold Rum & Cola Premixed Can (250 Millilitre),2.50,,,SuperValu,20200407
Gordon's & TONIC Pre Mixed Can (250 Millilitre),2.50,,,SuperValu,20200407
Gordon's & Tonic Pre Mixed Cans 4 Pack (250 Millilitre),8.50,,,SuperValu,20200407
Gordon's Pink & Tonic Premixed Can 4 Pack (62.5 Millilitre),7.50,,,SuperValu,20200407
Gordon's Pink Gin & Tonic Premix Can (250 Millilitre),2.50,,,SuperValu,20200407
Kahlua (70 Centilitre),27.00,,,SuperValu,20200407
Malibu (70 Centilitre),24.25,,,SuperValu,20200407
Mickey Finns Sour Apple (500 Millilitre),12.99,,,SuperValu,20200407
Mil Spritz (250 Millilitre),2.50,,,SuperValu,20200407
Mil Spritz Rosa (250 Millilitre),2.50,,,SuperValu,20200407
Olmeca Tequila Reposado (70 Centilitre),32.99,,,SuperValu,20200407
Pernod (70 Centilitre),33.55,,,SuperValu,20200407
St Germain (70 Centilitre),41.99,,,SuperValu,20200407
Vaccari Sambuca (70 Centilitre),27.99,,,SuperValu,20200407
Budweiser Light Cans 8 Pack (500 Millilitre),12.50,"WAS 14.00, NOW 12.50, SAVE 1.50",14.00,SuperValu,20200407
Carling 4 Pack Cans (500 Millilitre),4.50,"WAS 5.50, NOW 4.50, SAVE 1.00",5.50,SuperValu,20200407
