Name,Price,PreviousPrice,Offer,Retailer,DateScraped
 Drumshanbo Gunpowder Gin 70cl ,39.95,44.00,,OBriens,20210525
 Bushmills Black Bush 70cl ,25.95,32.00,,OBriens,20210525
 Redbreast 12YO 70cl ,63.00,,,OBriens,20210525
 Tanqueray Gin 70cl ,32.00,,,OBriens,20210525
 Green Spot Whiskey 70cl ,59.95,,,OBriens,20210525
 Dingle Gin 70cl ,36.00,,,OBriens,20210525
 Yellow Spot Whiskey 70cl ,79.95,,,OBriens,20210525
 Bombay Sapphire Gin 70cl ,26.95,31.65,,OBriens,20210525
 Gordons 70cl ,19.95,25.95,,OBriens,20210525
 Jameson 70cl ,30.00,,,OBriens,20210525
 Method & Madness Gin 70cl ,50.00,,,OBriens,20210525
 Roe & Co Irish Whiskey 70cl ,42.00,,,OBriens,20210525
 Kilbeggan 70cl ,27.50,,,OBriens,20210525
 Hennessy VS 70cl ,35.00,38.00,,OBriens,20210525
 Knappogue 12YO 70cl ,47.00,,,OBriens,20210525
 Aperol 70cl ,15.95,19.95,,OBriens,20210525
 Jameson Caskmates Stout 70cl ,29.00,38.00,,OBriens,20210525
 Jameson Crested Whiskey 70cl ,36.50,,,OBriens,20210525
 Roku Japanese Gin 70cl ,44.95,,,OBriens,20210525
 Jameson Black Barrel 70cl ,50.00,,,OBriens,20210525
 Powers Gold Label 70cl ,25.00,31.95,,OBriens,20210525
 Bacardi Carta Blanca 70cl ,22.95,26.50,,OBriens,20210525
 Absolut 70cl ,19.95,28.50,,OBriens,20210525
 Maker's Mark Bourbon 70cl ,36.00,46.00,,OBriens,20210525
 Passoa 70cl ,18.00,21.00,,OBriens,20210525
 Bombay Bramble 70cl ,33.00,,,OBriens,20210525
 Jack Daniels 70cl ,34.95,,,OBriens,20210525
 Jameson Cold Brew 70cl ,25.00,31.00,,OBriens,20210525
 Jameson Caskmates IPA 70cl ,29.00,38.00,,OBriens,20210525
 Grey Goose Vodka 70cl ,58.00,,,OBriens,20210525
 Glendalough Wild Botanical 70cl ,38.00,,,OBriens,20210525
 Sexton Irish Whiskey 70cl ,35.00,40.00,,OBriens,20210525
 Garnish Island 70cl ,32.00,37.95,,OBriens,20210525
 Paddy 70cl ,22.95,28.95,,OBriens,20210525
 Kahlua 70cl ,21.00,26.50,,OBriens,20210525
 Suntory Whisky Toki 70cl ,45.00,,,OBriens,20210525
 Beefeater Gin 70cl ,20.00,26.00,,OBriens,20210525
 Teeling Small Batch Whiskey 70cl ,38.00,,,OBriens,20210525
 Fercullen 8 YO 70cl ,46.00,,,OBriens,20210525
 Slane Whiskey 70cl ,33.00,,,OBriens,20210525
